[General]
Name|Brittney
20.2|Você vai arrasar, superestrela. E olha, aqui está uma chave que te dá acesso à casa. Desde que o fogão não esteja soltando fumaça, pode sair e se sentar perto da fogueira, se quiser. Quando ouvir o forno desligar, verifique primeiro e me avise se está tudo certo. Beleza, volto já.
21|Faça isso rápido, querido.
22|De jeito nenhum! Trabalhei muito nisso, e a única forma de não participarmos é se realmente estiver intragável.
23|Mas o que é isso? Está sentindo esse cheiro? Oh não, oh não, oh não. Está tudo arruinado! Maldito seja, Dr. Mobus! Isso é tudo, decisão executiva, vamos pedir comida.
23.1|* Gritando de outro cômodo * Mas o que é isso? Está sentindo esse cheiro? Oh não, oh não, oh não. Está tudo arruinado! Maldito seja, Dr. Mobus! Isso é tudo, decisão executiva, vamos pedir comida.
24|Só lamento que você tenha que aguentar tudo isso. Pegue meu telefone no estúdio e use o Flash N' Dash pra pedir comida pra gente. Vou acabar com essa farsa.
25|Então, enquanto eu estava naquele buraco, com as mãos envoltas no pescoço da Alicia, a poucos segundos de ser a Campeã Mundial Anual de Luta na Lama, percebi que queria ser uma atriz de verdade. A luta feminina é uma indústria em expansão, mas parece que só tenho coragem de entrar no ringue quando estou mais bêbada que um gambá.
26|Nossa, isso foi bem direto da sua parte. Não posso dizer que sou fã disso... pelo menos, ainda não.
27|Nossa, nossa! Gentil e fofo — agora isso é um pacote completo. Eu sou fã de pacotes completos.
28|* Gritando do andar de cima * Boas notícias! Já estou descendo.
29|Olha só, isso ficou melhor do que eu imaginava! Meus olhos estão ardendo um pouco... devem ser as cebolas. Não lembro de cebolas na receita... Vamos mergulhar!
29.1|Olha só, isso ficou melhor do que eu imaginava! Meus olhos estão ardendo um pouco... devem ser as cebolas. Não lembro de cebolas na receita... Vamos mergulhar!
29.2|* Gritando de outro cômodo * Olha só, isso ficou melhor do que eu imaginava! Meus olhos estão ardendo um pouco... devem ser as cebolas. Não lembro de cebolas na receita... Vamos mergulhar!
30|Certamente não parece que você pensa assim...
31|Olha, eu diria pra não julgar um livro pela capa, mas depois de me olhar, dá pra ver que fui feito pra lutar na lama. É todo o milho que comi na infância.
32|Chegando bem perto e aconchegante. O que tenho pra mim?
33|É isso que você acha agora? Eu acho que você está aprontando alguma coisa. Me segue lá pra cima, querido.
33.1|Sinceramente, do jeito que a noite tem sido, simplesmente não estou sentindo. Talvez você consiga salvar a noite mais tarde, mas por agora, vamos só passar um tempo aqui.
34|Oh, bom senhor. Patrick está aqui? O cara especial da festa? Vem comigo, vamos sair da zona de respingos dele.
34.1|Oh, bom senhor. Patrick está aqui? O cara especial da festa? Vem comigo, vamos sair da zona de respingos dele. Temos que conversar sobre isso.
34.2|Oh, bom senhor. Você o encontrou, hein? Vem comigo, vamos sair da zona de respingos dele. Temos que conversar sobre isso.
35|Um verdadeiro estraga-prazeres. Às vezes sinto falta dos cavalheiros do sul...
36|Então o Patrick está lá atrás, é? Espero que não esteja só perdido e confuso. Que tipo de informação ele compartilhou com você?
36.1|Então o idiota surfista voltou, é? Que tipo de informação ele compartilhou com você?
36.2|Estou pronta pra beber, bebê. Encontre essa chave.
36.3|Vamos lá, bebê. A bebida é a chave. Se bem me lembro, Pat é fraco por Whack Spaniels.
37|Aquele bastardo! E pensar que esse tempo todo eu estava dando um desconto por causa do cérebro de burro dele. Então você tem o celular dele, é? Deve haver uma forma de virar o jogo contra Patrick.
38|Ah, eu sei. Nunca imaginei o Patrick como um chefe técnico. Bem, se ele quer postar naquele site estranho, que tal conseguimos uma foto dele que vire assunto na cidade? Uma foto dele, mais bêbado que o inferno, pagando mico! Nós dois sabemos como ele fica quando exagera.
39|Você é um verdadeiro soldado, sabia? Agora, precisamos fazer ele se ferrar. Tenho um armário cheio de bebidas, só temos que abrir o maldito negócio e pegar a garrafa de Whack Spaniel. Quando ele estiver bêbado, sai dos trilhos quase imediatamente — igual na festa. É aí que agimos.
40|Droga, você está certo nisso... Queria mesmo poder te dizer onde está, mas não consigo lembrar. Vai ter que procurar... está por aqui em algum lugar.
41|Não cumprimente uma senhora que o convidou para a casa dela? Não é exatamente a melhor maneira de consertar as coisas ...
42|Ha! Acho que não poderia ter sido melhor, mesmo que o Frank estivesse aqui para assediá-lo. Rápido, tire uma foto dele e publique naquele site que você mencionou.
43|Você. É. INCRÍVEL. Nossa, eu não poderia pedir um parceiro melhor no crime. Toda essa vingança me deixou com tesão pra caramba. Vamos dar um último presente ao Patrick. Tira esse pau pra mim.
43.1|Ah, querida, eu vi que esta noite ia ser para um lado, mas não estou mais sentindo isso. Acho que deveríamos continuar amigas. Sabe... eu só... bem, eu acho você um babaca.
44|Patrick, suas calças estão molhadas. Você sofreu um pequeno acidente? Nossa, seu celular já está enlouquecendo. Deve ter um monte de gente tentando te dar conselhos de vida. Pode dormir o quanto quiser. Eu tenho toda a companhia que preciso.
45|Devo dizer que esta foi uma tarde e tanto. Você foi um verdadeiro prazer. Talvez seja a minha vez de te atender?
46|Seria agora? Bem, se é isso que você quer.
47|Ei, que diabos? Volta lá para baixo, seu merda!
48|Querida, você acabou de cruzar a linha.
49|* Risos * Nossa, que cócegas. Você está deixando meus mamilos duros.
50|Um homem segundo o meu coração.
50.1|Boa ideia, o carpete aqui já estava pegando fogo comigo.
51|Hum, tá. Só não tire fotos minhas. Você sabe que eu não sou como a Rachael.
52|Nossa, isso sim é que é uma boa sacanagem. Você é um garanhão. Vou dar uma olhada no meu celular... prepare-se para o segundo round.
53|73 chamadas perdidas... 400 menções... Que diabos? Isso é... DE JEITO NENHUM. Você postou fotos minhas naquele site de pornografia? Sabe como eu sou tímida! Você tem muita coragem. Deixa eu te fazer um favor e apagar essas fotos.
53.1|73 chamadas perdidas... 300 menções... Que diabos? Isso é... DE JEITO NENHUM. Você postou fotos minhas naquele site de pornografia? Sabe como eu sou tímida! Você tem muita coragem. Deixa eu te fazer um favor e apagar essas fotos.
53.2|Nada vale nada. Alguém no Neighborhoodwatch disse que algo grande aconteceria no site hoje à noite, mas tudo o que vejo é um anúncio de uma aula de tricô. Tanto faz, voltando a isso, amigo.
53.3|O Professor Mobus curtiu as fotos que enviei para ele. Da comida, quero dizer. Crédito extra, aí vamos nós! O que significa que você também ganha um extra.
53.4|Bom, eu disse ao professor que a comida não estava boa, mas ele disse que me ajudaria mesmo assim, contanto que eu ficasse quieta sobre o pedido anterior dele. Ponto extra, aí vamos nós! O que significa que você também ganha um extra.
54|Você fez isso? * Risos * Ele começou a brigar? Me diz que você não foi muito malvado com o cérebro de burro. Temos que comemorar. Eu não estava com vontade de beber, mas agora não consigo imaginar outra coisa. Abra o armário de bebidas.
55|Tudo o que posso dizer é que revirei a casa procurando por ela. Procurei em todos os lugares aqui. Essa chave não está aqui.
56|Bom, eu provavelmente teria dito sim, e ainda direi, mas vamos comemorar a vitória! Vamos tomar uma bebida e nos deitar.
57|Você é INCRÍVEL. Venha beber comigo.
58|Nossa, a última vez que bebi o Whack Spaniel foi com os outros lutadores de lama depois do torneio de convite. Acabamos todos juntos numa pilha gigante no final da noite!
59|Sim, torneios por convite. Não aja como se nunca tivesse ido a um torneio por convite de luta livre na lama. Você não viu um estádio cheio até as garotas cobertas de lama chegarem à cidade.
60|Ha, é, é verdade. Gosto demais de você para te destruir.
61|Tudo bem, se você diz. * Gole * Aqui, tome mais um e depois junte-se a mim na sala. Vou te colocar na cama e te mostrar algumas coisas.
62|Vamos ver... que movimento... Posso te mostrar o Tennessee Tittysmack... ou o Appaloosa Assbash... Eu sei, o Cucamonga Cooter Squeeze! Te peguei! Experimente a minha derrota!
63|Ah, não, é como o treinador sempre diz: "Aceite o aperto!"
64|Ah, não aguento mais... você vai me foder logo?
65|Esse é o meu tipo de luta. Faça uma pausa e passe para o segundo round.
66|Claro que não. Inofensivo ou não, não vou deixar ele escapar impune.
66.1|Não vou deixar um homem-criança perdido e confuso no meu quintal. Me diz, o que ele disse?
67|* Rille * Tenho que dizer que o humor negro sempre me pega. É o que acontece quando você cresce com dois irmãos.
68|Estou muito orgulhoso de mim mesmo... a comida não estava tão ruim. Mas consigo ouvir seu estômago roncando daqui.
68.1|Estou muito orgulhoso de mim mesmo... a comida não estava tão ruim assim. E olha só você, todo sorrisos! Fico feliz que tenha gostado.
69|Snooorree. Desculpa, querida. Todo esse humor de merda só afasta as garotas.
70|Vamos lá, você não acha que isso é um pouco desajeitado? Guarde isso.
70.1|Nossa, esse aí é um homem de iniciativa. Mas não tanto, querida. Poupe-se.
71|Bem, devo dizer que as mulheres que participam desses eventos são algumas das mais adoráveis... ah, estou dizendo muitas coisas agora. Elas são atletas talentosas, é tudo o que quero dizer.
72|Você pode... simplesmente sair da minha casa?
73|Olha o que você consegue fazer. Estarei aqui, pensando nos meus muitos erros no mundo dos relacionamentos.
74|O empresário da turnê do Willie Nelson... e depois o cara que inventou o Zune... O Jared do metrô... Cara, meu histórico de relacionamentos tem sido conturbado. Ah, ei. O que você achou?
74.1|O que você encontrou?
75|* Rille * Sério? Isso é bem cafona... mas, para sua sorte, eu adoro cafona.
76|Não tem jeito. Eu gosto de você, mesmo que tenha dado uns tiros na cabeça hoje à noite. Vamos lá.
77|Deixa eu ver... Nossa. É, na verdade, isso é bem legal. Gostaria de te ver em ação algum dia.
78|Vamos, não tenha medo, ok?
78.1|Ah, querida, vou mergulhar de cabeça. Só me diga o que você quer que eu faça.
79|Chega de conversa. Já passamos disso.
80|Meu Deus... Essa merda não vai contar para crédito extra. Talvez se eu mandasse aquelas outras fotos que ele pediu ...
81|Estamos quase pirando um pelo outro e você está só brincando? Fique de boca fechada.
81.1|Tenho toda a fé do mundo que você vai encontrar... Eu acho.
82|E agora? Use esse álcool para acabar com o Patrick. Despeje goela abaixo dele se for preciso.
83|Eu não, bobo. Dá pro Patrick!
84|Sei que deveria ajudá-lo a encontrar a chave, com esta casa e tudo mais, mas gostaria de ver um homem que pudesse estar à altura da situação.
84.1|Entendeu? Muito bem! Agora entregue. Por favorzinho, é claro.
85|Ei, você está tirando fotos? Acho que não gostaria disso.
86|Hum, essa foi a sua versão de diversão? Bem, fico feliz que esteja satisfeito, eu acho. Escuta, amanhã tenho um longo dia, então vou encerrar a noite ...

[Responses]
ee95d966-1f95-4ecf-9df3-0ca580f82599|De jeito nenhum, havia outro garoto lá fora procurando um encontro. Eu o assustei.
7ff6bbde-6d62-4c04-bf87-09b2ebdd4d29|Sim, e admito que foi estranho. Estou nervoso, ok?
7c0a7453-7f7b-4edb-be4a-5146939344b8|Eu estava me preparando para o nosso encontro me comunicando com meu animal espiritual ...
2c549f9b-0681-4ba9-a93f-25107051021a|Existe alguma chance de que este lugar seja assombrado? Talvez um Casper pervertido que ficaria bravo. Estou aqui?
0c65da2e-a2d2-4ed5-a9ef-4c7a73ca2a6b|Desculpe, a vista me distraiu. Vou continuar procurando, Brittney.
2a0fadf6-e1a2-4842-acd4-b0f1f5d5a332|Que tal pularmos para a parte boa da noite? Sabe, a parte sem calças.
f32e055c-7197-4f93-8669-fdc435b6e20f|Aqui vai uma ideia: se a comida estiver ruim, podemos pedir para entregar!
617cf0be-cce1-42fc-8833-c9d8b928f8d5|Certo, vou garantir que a casa permaneça intacta.
c6afac2b-4357-4954-a3da-9818b49f76d2|Não precisa me perguntar duas vezes.
201f0d12-38ff-46db-b50b-0b13cea5f065|Não precisa me perguntar duas vezes.
81b37352-beda-4604-8e98-8f8e02e83ab6|Sem problemas. Eu também posso ficar um pouco assustado.
93c6c81b-233b-4c70-a5b5-e417e24dcc21|Você está absolutamente incrível.
fc930a68-1271-442f-82fa-d0e80f170f15|Não é pedir muito.
47744c05-7ed2-40b8-bba9-e73451f40da9|Você sabia sobre ele? Você parece bem calmo para alguém que tem um Peeping Tom nas mãos.
29d18b24-f4f5-44ff-97ca-d43d30aff1dc|Em uma escala de 1 a 10 de "Fodido", estamos chegando a cerca de 11.
bab25aa6-dce5-47e8-953b-07eab230ce6c|O que você está cozinhando, afinal? Minhas narinas estão queimando.
5fd82fe4-c545-450e-808b-fa48afd1387a|Não precisa me perguntar duas vezes.
7424f3e5-6766-45af-af90-8a840e57cc48|Estou com medo e com raiva ao mesmo tempo. Isso está tendo um efeito estranho nos meus amigos.
40fdc642-415b-414c-9db7-1f270b2db9b4|Você sabe. Vou tirar essa Slingblade daqui.
1c83f949-c41a-4c37-9bf0-eb68b60adedb|Não gosto muito de olhar para o pau dos outros. Me lembra muito acampamento de verão.
18eedc96-6eb0-41f5-a0f5-10b6c2d89c57|Por mim, tudo bem. Aliás, estou totalmente a fim. Vamos voltar à nossa noite.
e9694bcc-66ab-4d56-9821-8d5ccb15018e|Uma chave? Certo, certo, certo.
3cfac806-a3f5-4f33-afdb-4d9b11eebd2f|Eu sabia que deveria ter bebido no caminho para cá.
68fed4c8-dbde-4156-84e6-5d93824d2740|Por que ele está bloqueado em primeiro lugar?
5560913f-026f-4cd7-bfb5-d13b32990d23|Estou mais do que familiarizado com tios sensíveis. Descanse em paz, tio Jerry.
d43c7be5-40cc-4806-af9d-0ee3d5d8edba|Eu sou um idiota do caralho.
7547501e-2bc2-4ca6-85cf-225faed4fad3|Não é tão ruim, exceto para mim.
647a7e1f-fd3d-4ecc-80a9-2f97579e678f|Imagine ele olhando fotos suas... Imagine todo o suor ...
15d0cf77-e5db-4fc0-818e-67e60018e413|Há algo que eu possa fazer para ajudar?
bf19cd76-3adc-47a6-b545-d0031d260615|Espere, antes de ir ...
425f9814-b6e9-4671-9738-b23bf90bc1fc|Talvez eu possa ajudar você a se refrescar?
102d8617-4533-4a8b-804e-7d6281d2ad9d|Eu nasci para isso.
cb79979e-b8db-48ab-befb-f3a7e3482e38|Não sei ...
d384d647-704f-49ef-81f1-b7cf4694b6e7|Vejo você em breve.
5103892f-71d0-4832-a1d8-ccdd5cd8fac9|Será que esse lugar é mal-assombrado? Talvez um Casper pervertido que ficaria um pouco incomodado com a minha presença?
86cbcf2a-7600-4504-bf78-d3fc504b9e90|Aqui vai uma ideia: se a comida estiver ruim, podemos pedir para entregar!
b20fe6d8-f819-4c4f-997c-e7b69ab2cbc3|Dwight Schrute diz que você deve sempre saber onde ficam as saídas. Me dá um segundo.
058ccb15-d079-4233-adce-6d28a48f26af|Ainda estou trabalhando para conseguir a bebida!
81addda0-d5a9-4806-bd18-f9a1071f1f63|Hmmmmmmm ...
e0322c99-9a3d-4420-9760-70bb58d6f45f|Não se preocupe, estou mentalmente preparado.
f33bf766-aefc-4af1-9b1c-9ff07d2af1eb|Droga... mas você trabalhou muito duro nisso.
dbb18a16-8a77-4c30-9cad-98b77b54c7e1|Bem, tudo acontece por uma razão, certo?
dfd5ccc6-e9d2-4b06-9d32-c069f3dd8125|Não se preocupe, estou cuidando disso.
4fbba605-03cc-408a-b7a1-2b9bcab49af8|Você é definitivamente mais do que aparenta.
3ddde685-f058-44b8-af45-05816254844d|* Bocejo * Muito interessante...
8ba97802-5009-4067-b06e-de483646a8e4|E talvez haja mais do que isso?
5413ee37-e169-40b1-9a9b-80c8e14b9339|Retiro o que disse!
919b61e4-3297-4b29-95e1-c106d7ab01ca|Prazeroso!
ab67eef1-5793-4d4c-ac1c-6bec13530c88|Okie Doke.
d5b91272-e0c7-46b8-ad3c-e61c4ebae805|Me dê um prato!
2cd49876-145b-4996-9d19-63d2af5335ac|Whoops.
2670ef16-d4cc-4869-8567-9925b3a689bb|É, eles realmente te empilham. Todo aquele milho, quero dizer.
4bc831a9-d3e5-417b-907b-1ca4b0b2f4ec|Acho que deveríamos subir para que a diversão possa continuar.
84a7d217-cd35-4468-9c68-0e44929d4e6f|Não olhe, mas encontrei Patrick lá fora e ele está nos observando agora.
2133bdf5-10a5-4c54-8d06-439f9d7103da|Acabei de peidar.
df13f592-6d4b-4fb1-836d-2537d21964a7|Não olhe, mas encontrei o Patrick lá fora. Ele está nos observando agora.
3550a71b-dabe-4c70-a1b6-e278b1ba0b9a|Tenho uma surpresa para você. Quando entrei no seu quintal, encontrei o Patrick e o chutei para o meio-fio.
58e264ad-c214-4c8e-b843-e343e762fe9a|Tenho uma surpresa para você: Aquele tal de Patrick sobre quem você me avisou? Eu o encontrei e o chutei para o meio-fio.
0de855ed-4f25-4bbf-a455-b219a85a31a8|Tudo bem. Sou como verrugas genitais: demora um tempo para me acostumar.
b964ca06-6cc6-4428-8de3-5379b9693b8e|Desculpe por ter deixado as coisas saírem do controle. Vou dar um jeito de te animar.
fe6653c9-bf09-466a-9838-bb5e7189b15f|Eu posso fazer isso.
ce928ae5-7e3d-47dc-bf8f-878f3f9a5682|Eu posso fazer isso.
cf41132f-8c58-4321-8f44-029665642fa3|Zona de respingos? Que nojo.
bc870848-007e-4905-93dc-0f45be23ebdf|Hum, eu quis dizer: "Há algo que eu possa fazer enquanto você estiver fora?"
ca79d647-3b54-4fc5-8a26-4cc78ce3cdd5|Deixe-me tentar novamente ...
23e3bbf0-928c-49e7-ad10-61c6da470565|Não acho que o Patrick seja tão burro quanto você pensa. Ele quer que eu tire fotos suas... nua.
a4eebe1d-b155-408d-b7e1-b70a43cc352f|Nada... Parece inofensivo para mim, realmente.
7aea6f62-9073-4eea-a878-dc0b86baae38|Encontrei a chave. Deixe-me abrir essa ventosa.
f593d856-934d-47a8-8648-246585f61b3b|Até mesmo a menor pista sobre onde está a chave realmente ajudaria.
33b895c4-d617-436c-8874-cf28196bf255|As fotos seriam publicadas em um site que ele possui. Você sabia disso?
bfb25a5f-aa3b-4be6-8e31-c0f66ef66649|Estou cansado de ver sua cara de idiota. Vamos voltar para a nossa noite.
b9972437-75c9-4780-993b-835de8522af1|Poxa, sim. Estou mesmo desanimado.
2e40d4d8-9ca9-4b12-b140-bea4ba3a6591|Eu diria que vamos deixar isso para lá e voltar ao nosso encontro.
adeb4776-0d55-471a-a65d-1af4990e2a54|Estou cuidando disso.
1169a816-22f5-43b8-8e59-b2d1837529b7|Mas a chave do armário de bebidas está perdida, certo?
83aaa885-8463-4e68-b436-1d5be6c94065|Eu vou encontrá-la.
a880beed-3b05-4a9e-9619-0f7eadb79e3c|Desculpe, estou nervoso.
4ada272b-654d-4321-ae4c-5a2378b06fb4|Considere feito.
ce360296-deb4-4c4b-9e50-b17b3feda14f|Ah, querida!
3d52adb7-5009-4651-a17f-cd652d3a3b86|Deus. Maldito. Maldito seja.
ef595f37-e3c4-484a-9a18-e2bed25c7d03|Você quer dizer eu, certo?
c583613c-a588-4296-af4f-4d3a43e671ac|Seria um prazer se você tirasse a blusa.
c4b07ce5-8fd0-469d-b7f1-f60f337cc29f|Tenho certeza de que seria um prazer se você se ajoelhasse.
ab3b1477-f345-4de7-9629-2e82151e2351|Heh. Legal.
30c59d6d-c591-4c74-ba2f-f3b968336a0a|Sinto muito!
0fc01b16-df46-4438-9ccd-dece98aee534|Isso vai doer! Tenho outro encontro mais tarde hoje à noite! ...ah, com o destino! Você é meu des... ah, merda.
8b1c3a4f-3f27-4e41-a876-7cd8cf5efba8|Deite na cama e deixe-me tratar de você.
fb365fa9-149b-4bb6-9c99-9e32c4b2ebf6|Vamos ver se consigo fazer um pouco mais que isso ...
4b998c54-1664-458e-8609-cfbe6c68e3b9|Claro.
e59ee708-5f01-40fa-ac19-0fe5947acdc0|Hummm, de volta para a cama.
70f2c830-46ca-4b9e-ac89-d4652cf7bce8|Estou sempre pronto. Chamam meu pau de Lou Diamond Phillips porque ele sempre aguenta e entrega.
b45c3874-469d-4d06-af86-dd3509ee996e|Não fui eu!
08b94ea4-a285-407b-8723-26965856fae1|Segundo round, DING DING.
52187439-0697-41ca-8062-82b68e81f3ad|Vou fazer isso, encontrei a chave!
1447651f-1d7b-479c-b648-d89c00a3ac56|Está bloqueado, não está?
a391573a-cf16-4f13-83e0-a9eed4584650|Espera, eu ia te perguntar se você queria subir e, sabe.
938786cf-636e-4d1a-a5b2-baa4b640906a|Hmmmm.
7cc4ba52-53db-46c8-bf4f-a03f6020aeec|Tudo bem então.
d0467585-58fd-43d2-9829-83a0ed12b220|Com prazer * Toma um gole *
e877cbe9-9f35-416b-96d7-6c29c101ac12|Convites? O quê?
5056c927-667b-4c97-b807-cf79f0953b62|Você deveria me mostrar alguns movimentos dos seus dias de luta na lama.
e199d007-ba06-436f-8859-0483534bfbfe|Você deveria me mostrar alguns movimentos, se ainda os tiver.
d45cea37-3877-46cc-ac80-e2eb463ee3e5|Vamos, você não pode me machucar.
229b4963-14b0-4548-bdd5-f737467f7bbb|* Gole * Pronto e pronto.
c8c2002c-2cd9-4acc-bf69-e4599f1a2c89|MMMFFPPHH! MPH-MEU-FAFPH!
d78e716a-3cbb-4e0b-b938-7f2b5ad8f0af|* Vire-o *
1331b875-9430-46e5-8122-34bf0fc1a5c1|* Continue 'Enviando' *
468abbe6-1ba2-4cf4-89e2-1d7c51ae36d9|Você sabe disso.
1aa65092-5a82-4bcb-837b-bd1dcbb724e0|Whewwww-wee!
a74cbd38-d47c-4e09-abc0-3e2e121b6585|Justo. Ele não é simplório, Brit. Ele me deu o celular dele para tirar fotos suas quando estamos... íntimos.
685328ca-33d5-4bcf-a0cf-c73653e5b0c9|Justo. O que você tinha em mente?
4db0e8bb-7c3d-4c3c-b8aa-6fd0196bcd05|Então me diga, eu acho.
6463ead0-8162-44e2-8806-d14a66d21dec|Maldita seja.
fe50db81-ce29-4968-9432-136e29c00219|Não se preocupe, ficarei bem.
91f26e53-0478-46ee-a68f-1b2f450c340d|Sim, você tem um talento especial para essa coisa de cozinhar.
2584a02f-77f0-46fe-89e9-d9069e63eaf8|Merda. Quer dizer, droga.
4da1cb39-5e11-4adf-8384-197d5870ce63|Droga, isso nunca funciona. Não sei por que continuo fazendo isso.
fe24b41f-fa48-43b1-b41f-6974be16d68a|Não posso dizer que te culpo.
823ab977-0825-47b6-85a4-67f6b69b30d3|Sim, eu vou me mostrar.
3870d5b0-3aa7-4917-8ed1-17afb431b758|Você entendeu.
f09745ab-ccdc-481a-8c7d-fa3aa2b78bb2|Nada ainda. Vou continuar tentando.
a803ec28-40b1-4c21-a4f3-f8498406eef7|E se eu te contasse? Encontrei o Patrick rastejando pelo seu quintal.
1c7f076e-2aef-4c6e-893c-d7172398ba79|E se eu te contasse? Encontrei o Patrick rastejando pelo seu quintal e o chutei para o meio-fio!
d22dc997-cce8-43f7-8b0b-fc99e2e41bdd|Confira este vídeo meu, totalmente, arrancando pedaços e surfando... pranchas. Sobre as ondas.
4b34f7f2-3d0b-4f52-81d6-80a74cb6479d|Então, você me dará uma segunda chance?
4b41f44b-0852-481d-ae3b-b4cb7f1376b6|Sim!
de7fd2ff-6399-46e0-b603-1ed400d99259|Sim!
c8283f10-2497-47a5-80f4-0babb2fbf5e0|Sim!
630b6a13-c039-41b7-99e6-a330f5d6ddcb|Eu vou te levar em algum momento, mas iremos como mais do que apenas amigos, certo?
781b4240-bf21-4fa7-9ece-fb04a2ebe964|Não estou com medo... Só estou melhorando. Vou me deitar.
19ff2eb4-26b0-4e2c-b92a-90b4defe8f25|Ah, eu farei isso ...
968128c0-5407-47b5-a2ac-70ea01c66e10|Boca fechada.
11167917-f36d-431f-bf9f-1f4c54a490b3|Sim, senhora.
718440ea-dcdc-4043-8935-933689e6b362|Eu, uh, sabia.
2d93d3d1-3c0d-44d7-8b69-9768903d2883|Vou ver o que posso faze
3f7ef852-f9fd-4084-a0ae-2e24a162c931|Aí está o charme sulista.
50f02d47-d9c4-4961-8841-10a9ede6e2ba|Desculpe, na verdade estou apenas verificando os preços das ações.
