[General]
Name|Patrick
17|Eu tenho um pênis pequeno e não tenho medo de quem sabe. Não é um babaca, não é um cultivador, só uma espiadinha que resolve. Porque eu faço sexo... às vezes. Preciso ir para a cama ...
18|Argh, o que aconteceu? Brittney? O que você... espera, todas essas notificações... Que diabos? NÃOOOOO!!
19|Fotos aí, cara. Espero que quem está nessas fotos esteja pronto para os holofotes.
20|Broheim, você não pode ser tão problemático quanto eu sem ver um cérebro estranho de vez em quando. Fica tranquilo, cara.
21|Ok, um pouco disso me afetou, mas, como eu disse, somos apenas dois caçadores de prazer espalhando nossa semente no além. Está tudo bem, só tome cuidado com seus borrifos de amor de agora em diante. Valeu, Bromigo.
22|Merda, mano, sei lá. Dá uma flor ou algo assim pra ela. Isso ou um vídeo seu passando direto por uma onda. Garotas adoram vídeos de surfe.
23|Ei, mano, se for pela causa, então não tem problema. Você deve conseguir encontrar uns vídeos irados no meu celular. É só mostrar para a Brittney, aposto que eles vão deixar ela pronta para a ação. Droga... isso me faz pensar que talvez eu devesse mudar meu jeito suspeito e usar as habilidades que tenho para atrair mulheres de maneiras saudáveis. Heh, não, mano.
24|Cara, não acredito que a Brittney terminou com aquela pirralha festeira. Ela tá tocando aquela música sensual e tudo. É isso aí, vou cair nessa e ficar estranho comigo mesmo. Espera... pra onde foi a música?
25|Ah, não, mano. A história ainda não acabou. Estou de olho em algo... ou algo assim, devo dizer, que ajude o site a voltar ao seu devido lugar. Mas você tem razão, o site já me tornou milionário, então é definitivamente um brahsitivo. Enfim, obrigado por me receber, mano.
26|Como você descobriu isso, mano? Prefiro que as pessoas da festa não descubram. Prefiro ficar com elas para mim, sabe? Olha, eu dobro sua recompensa se você ficar de boca fechada sobre o quanto eu tenho em meu nome. Combinado, mano?

[Responses]
65f32010-8ae6-4200-a510-d6e918f8e75a|Patrick, eu sei que é você. Essa é uma sexta-feira à noite normal para você?
e5cc1c43-87a1-4585-b57f-03ba8f4906dd|Certo, preciso pedir um daqueles favores que você me deve.
33aa268a-cb12-450e-b7e5-638254bdfa77|Que momento de orgulho deve ser para você, Patrick.
770d7f65-7293-4861-b1ac-51f2d090a167|Nossa, você é um peso-leve, meu chapa. Você devia se sentar.
dce4d85d-b899-4470-a2cc-144598cf2c27|A Brittney está me ignorando. Alguma ideia de como reconquistá-la?
0964d020-6a38-44d8-8901-54b6e2b98b55|Não, ainda não.
d16b94f2-cb77-4e4a-9579-9a149b2902c0|Um passarinho me contou que você tem bastante dinheiro. Me sinto enganado.
b1ff8136-8ba8-49cd-abcc-7eb8d63b1c38|Qual site?
a10702ea-ea61-4f48-bfc9-312188a92ff5|Acho que você pode ser o diabo.
a430c031-3521-4013-8275-40adf8ee279d|A bebida está trancada e o jantar parece que veio do Planeta X.
acd0751b-013b-493a-8b20-84294bf3267f|Sim! Quando meu cachorro, Oreo, fugiu, alguém daquele site me ajudou a encontrá-lo. Eu adoro Oreo.
0efb13b4-5e5b-476a-a91d-25e9c5874d2a|Não posso dizer que estou muito familiarizado com sites de espionagem, amigo.
35df90f3-26e5-4766-87d3-709eceb122e5|Certo, você me pegou. Por que isso significa que você está aqui?
b2ce185d-9309-47f1-b97f-6b8c534d0461|Já ouvi o suficiente. Você tem que ir.
6728eb20-d32d-42f2-9668-9fbf8937e820|Não, você é o pior. Sai daqui.
f6794c23-ed37-4c0c-9fbb-bcc08bc0a8fe|Bom, uma vez eu fui para a Geórgia... Qual é o problema?
e0a9009a-9a28-4603-b9a9-08ddaf9aeda8|Nossa, cara, você é o pior. Perdido pra caralho.
a401735e-d30f-4e78-9b2d-e5b1feb19cd8|O que você está dizendo?
a5e25ec3-ecf1-4e98-b454-581db41ece04|Eu vejo você, garoto pênis.
6a67e2f4-f197-425e-a3e0-95ca525bde56|Pois é, o "Neighborhoodwatch.com" não é exatamente atraente nem objetivo.
2b36b06b-ca12-407e-a615-a917df507b43|Você quer que eu tire algumas fotos voyeur da Brittney?
8e439014-59d9-4183-a83b-6e925f720d7a|Não, meu amigo, isso é demais. Sai daqui!
212cdf15-206c-4c16-b5cc-461487a49948|Não sei, cara. O que você pode me oferecer?
8fa6fe10-9428-43eb-bf46-74dd38a77a1b|Ok, estou dentro.
0db185f8-d3ad-427a-aa1f-9420ed5f5481|Preciso passar. Essa coisa toda me fez sentir um merda. Cai fora.
cb7b7df1-90b4-4b21-a0b9-40e46a679dd2|Claro que sim, vadia!
904cc0f6-9983-4b62-bc39-75f6b604e918|Dizendo que queria parar de comer a comida caseira da Brittney ...
d127670c-37c5-45c3-b850-302b8678d13a|Você viu a chave do armário de bebidas? Preciso adicionar álcool a essa equação.
6a665d3d-7809-4801-9136-ede4e5aecce1|Ah, merda, deixa pra lá.
d4831c7e-39fa-43c0-beed-756a83a6f1e9|Não é uma má ideia... Vou dar uma olhada.
4aca59b6-7145-4bcc-91ef-3ee38aa0a805|Você é um desastre.
187f2750-5b24-49f4-9195-d37c45e828cb|Você tem se esforçado muito para invadir a privacidade das pessoas. Pensei que você pudesse tomar uma bebida.
9c8e871f-6702-4398-a055-430384872316|Vejo você em breve.
59957b64-e54a-4b01-98db-499905634cb0|Deite-se, amigo. Vou sair do seu caminho.
c933b42c-4e13-438a-8694-548bb0321b9d|Heh, te peguei, vadia.
b4529ddf-65fb-42f7-be3e-8fb339715a28|Doce, doce, ironia.
74acbc5f-a835-41eb-b6af-cb673b4f09b8|Ela ficará bem.
3cd5e8f7-d498-4107-a978-ecd1b0883721|Eu realmente pensei que isso o tiraria daqui.
23cc3815-870a-4baa-a147-04c1c59b7929|Uau, você é um osso duro de roer.
49280422-7988-4a1a-a3fa-cb8c51ccafb8|Me mostre um dos seus vídeos de surfe. Um de longe, para parecer que sou eu.
33c12a89-5016-4f54-b35e-c79b2ef91d13|Vídeo no telefone. Obrigado.
81b9ff1f-b2ed-4bf3-86a0-d5261f8a5b8b|O quê? Quem disse isso?
3fd5a814-0cf7-4b8f-8b86-52633381d309|* Extrato final *
ca5578f2-65a6-4eca-912b-fbd905806eb2|Tudo bem, compartilhe.

[Quests]
aee02592-638b-44b7-bcab-04b4472920b3|Espíritus emprendedores
aee02592-638b-44b7-bcab-04b4472920b3Description|Uma voz vem de algum lugar próximo. Encontre a fonte.
aee02592-638b-44b7-bcab-04b4472920b3CompletedDetails|
aee02592-638b-44b7-bcab-04b4472920b3FailedDetails|
31828dcf-4010-4d06-8d95-7eadcfaddaea|Ame o seu próximo
31828dcf-4010-4d06-8d95-7eadcfaddaeaDescription|Patrick me apresentou um dilema: tiro algumas fotos de Brittney para ganhar dinheiro?
31828dcf-4010-4d06-8d95-7eadcfaddaeaCompletedDetails|
31828dcf-4010-4d06-8d95-7eadcfaddaeaFailedDetails|

[Events]
6936f938-72b1-421d-8bf1-1529c15c9dde|Deviam me chamar de matador de babacas. Vou contar para a Brittney depois... uma surpresa depois do jantar.
e5905f56-5c86-41b4-86e6-78b720ec36b2|Eu deveria dar um tempo para ele apurar o tempero.
f762acb9-3f44-4d52-b370-b05cf2bd5a22|Vamos ver como isso desenrola.
7f86bb1f-5f9b-43f8-8741-55e0bd43d8ee|Você conseguiu fazer o Patrick rir de algum canto estranho da internet a que ele pertenceu. Você também conseguiu um sexo de vingança gostoso. Parabéns!
Fim de jogo.
f045c356-dcb8-4f16-a99c-0907bb919f3d|Espera, espera, espera, o Patrick é milionário? E eu só vou ganhar 5 mil? Isso é troco, mano!
5c7f8ff4-b96a-4607-b0a7-5491d207e148|Legal! Acabei de dobrar minha opinião... Se eu decidir prosseguir com isso. Essa é a verdadeira questão.
08f0bf11-74b9-44d9-b7a2-eb4b763dd753|Preciso pensar nisso. Talvez eu deva me concentrar no jantar por enquanto.
d846bbd0-34a4-4839-8ab3-372abc350ee4|Preciso pensar nisso. É melhor não contar para a Brittney ainda... se eu contar.
8b007921-e722-47ad-9594-a6b5abfeea33|Tiro perfeito!

[Background Chatter]
