[General]
2FAHeader|2FA
RegistrationStatusUnknownErrorContent|Não foi possível concluir o registro. Verifique as informações inseridas e tente novamente. Se o problema persistir, entre em contato em nossos fóruns.
RegistrationStatusUnknownErrorHeader|Erro desconhecido
RegistrationStatusUnknownExceptionContent|Não foi possível concluir o registro. Verifique as informações inseridas e tente novamente. Se o problema persistir, entre em contato em nossos fóruns.
RegistrationStatusUnknownExceptionHeader|Erro desconhecido
RegistrationStatusWeakPasswordContent|Sua senha deve conter pelo menos 10 caracteres, um número, uma letra minúscula, uma letra maiúscula e um caractere especial (como "!" ou "@").
RegistrationStatusWeakPasswordHeader|Senha fraca
ReleasedOnLabel|Data de lançamento:
RemoveTagHint|Dica: Clique no X de uma tag para removê-la.
ReportAlreadySubmittedDisclaimer|Você já denunciou esta história.
ReportAlreadySubmittedHeader|Denúncia já enviada.
ReportCommentLengthErrorDisclaimer|Seu comentário não pode estar vazio e não pode exceder 150 caracteres.
ReportCommentLengthErrorHeader|Erro no tamanho do comentário.
ReportDesignDisclaimer|Este design contém conteúdo ilegal ou impróprio? Forneça um motivo (150 caracteres ou menos) na sua denúncia. Você só pode denunciar um design uma vez.
ReportDesignSuccessfulDisclaimer|Obrigado. O design foi denunciado com sucesso!
ReportDesignSuccessfulHeader|Denúncia enviada com sucesso
ReportDesignUnSuccessfulDisclaimer|O design não foi denunciado com sucesso devido a um erro. Tente novamente.
ReportDesignUnSuccessfulHeader|Falha na denúncia.
ReportStoryButton|Denunciar
ReportStoryDisclaimer|Esta história contém conteúdo impróprio ou ilegal? Se sim, você pode denunciá-la. Escreva uma justificativa curta (150 caracteres) para sua denúncia. Você só pode denunciar uma vez.
ReportStoryHeader|Denunciar
ReportSuccessfulDisclaimer|Sua denúncia foi recebida. Vamos revisar esta história. Agora você pode fechar a janela.
ReportSuccessfulHeader|Denúncia realizada com sucesso
SearchPlaceholderText|Tag, ID, Criador
SearchText|BUSCAR
SelectCharacterText|Personagem:
SharedDesignsHeader|Designs compartilhados
SharedDesignsTab|Compartilhado
ShowText|MOSTRAR
SpaceCharacter|<espaço>
StoryByLabel|História de:
StoryDownloadFailedContent|Esta história não pode ser baixada no momento. Tente novamente em alguns minutos.
StoryDownloadFailedHeader|Falha ao baixar história
StoryDownloadSuccessContent|História baixada. Agora você pode jogá-la.
StoryDownloadSuccessHeader|História baixada com sucesso!
SubmitButton|Enviar
SubmitRatingButton|Enviar
SubscribeToEmailsCheckboxLabel|Sim! Envie-me notícias e informações promocionais da Eek! Games
TagAndTitleErrorMessagePart1|Os caracteres
TagErrorMessagePart2|não são permitidos nas tags. Use apenas letras ou números.
TagErrorMessagePart3|As tags devem ter entre 3 e 12 caracteres.
TitleErrorMessagePart2|não são permitidos no título. Use apenas letras, números ou espaços.
TitleErrorMessagePart3|O título deve ter pelo menos 6 caracteres, excluindo espaços.
TitlePlaceholderText|Digite o título...
TopRatedTab|Mais votados
UninstallStoryButtonText|Desinstalar
UninstallStoryDisclaimer|Tem certeza de que deseja desinstalar esta história?
UninstallStoryFailedContent|Algo deu errado e não conseguimos desinstalar esta história. Você está destinado a tê-la até a inevitável morte térmica do universo. Ou até que a exclua manualmente.
UninstallStoryFailedHeader|Falha na desinstalação
UninstallStoryHeader|Desinstalar?
UninstallStorySuccessContent|Uhul, missão cumprida! O que você vai fazer com todos esses megabytes livres? ...Espera, não me diga. Vamos manter esse momento de glória intacto.
UninstallStorySuccessHeader|História desinstalada com sucesso!
UpdateStoryButtonText|Atualizar
UpdateStoryFailedContent|Algo deu errado e não conseguimos atualizar esta história corretamente. Talvez você não esteja nos dando acesso às suas pastas? Talvez tenha algum antivírus ativo? Precisamos de acesso, irmão!
UpdateStoryFailedHeader|Falha na atualização
UpdateStorySuccessContent|Top demais, irmão! Esta história foi atualizada com sucesso!
UpdateStorySuccessHeader|História atualizada com sucesso!
UploadDesignDescriptionLabel|Descrição: (máximo 50 caracteres)
UploadDesignHeader|Compartilhar design
UploadDesignInstructions|Você está quase pronto para compartilhar seu design com o mundo! Preencha os detalhes abaixo para concluir o envio do seu design.
UploadDesignNSFWDecalsDisclaimer|Marque se este design é sexualmente sugestivo ou contém nudez.
UploadDesignNSFWDecalsLabel|Contém decalques NSFW.
UploadDesignSharingDisclaimer|É estritamente proibido compartilhar designs com decalques, títulos ou descrições que contenham racismo, discriminação, homofobia, transfobia, crueldade com animais ou outros tipos de conteúdo impróprio ou de ódio. Ao compartilhar seu design, você aceita esses termos e reconhece que sua conta pode ser encerrada em caso de violação. Todos os designs vinculados à sua conta serão excluídos.
UploadDesignTagLabel|Adicionar tag (3–12 caracteres):
UploadDesignTitleLabel|Título: (máx. 32 caracteres)
UploadInstructionsText|Se você é um criador de histórias e deseja adicionar sua história personalizada a esta lista, visite-nos em .
UploadSuccesfulHeader|Envio concluído
UploadText|ENVIAR
UsedAchievementText|Conquistas necessárias:
UsedDLCText|DLC necessário:
UsernameFieldLabel|Nome de usuário:
ValidationResultAgeConfirmationMissingContent|Você deve ter pelo menos 18 anos para criar uma conta.
ValidationResultAgeConfirmationMissingHeader|Proibido para menores
ValidationResultAgeConfirmationMissingWarning|Marque a caixa para confirmar que tem pelo menos 18 anos.
ValidationResultBadEmailContent|O endereço de e-mail é inválido.
ValidationResultBadEmailHeader|E-mail inválido
ValidationResultBadEmailWarning|Digite um endereço de e-mail válido.
ValidationResultBadPasswordContent|Sua senha deve conter pelo menos 10 caracteres, um número, uma letra minúscula, uma letra maiúscula e um caractere especial (como "!" ou "@").
ValidationResultBadPasswordHeader|Senha fraca
ValidationResultBadPasswordWarning|Sua senha deve conter pelo menos 10 caracteres, um número, uma letra minúscula, uma letra maiúscula e um caractere especial (como "!").
ValidationResultBadUsernameContent|Seu nome de usuário pode estar muito curto, muito longo ou conter caracteres não permitidos.
ValidationResultBadUsernameHeader|Nome de usuário inválido
ValidationResultBadUsernameWarning|Digite um nome de usuário com pelo menos 4 caracteres e sem símbolos especiais não permitidos.
ValidationResultMismatchedPasswordsContent|Verifique se você digitou a senha corretamente. A senha inserida não corresponde.
ValidationResultMismatchedPasswordsHeader|Senha incorreta
ValidationResultMismatchedPasswordsWarning|Verifique se a senha foi digitada corretamente nos dois campos.
ValidationResultUnknownErrorContent|Ocorreu um erro na comunicação com o servidor ou no processamento da solicitação.
ValidationResultUnknownErrorHeader|Erro desconhecido
YourRatingForStoryLabel|Sua avaliação:
