[General]
Name|Vickie
19.2|Bom trabalho, cadete! Esse é o tipo de entusiasmo que eu adoro ver. Por que você não se junta a mim na banheira de hidromassagem e podemos continuar esta conversa com um pouco mais de conforto... e com muito menos roupas?
20|Ah, essas coisas velhas? Você pode agradecer à Rachael por elas. Nossos desafios podem ficar um pouco malucos às vezes.
21|Por que você não tira esse short bobo primeiro? Isto é uma banheira de hidromassagem, não a piscina da YMCA...
22|Certo, cadete. Tem algumas coisas que você precisa aprender se quiser ficar comigo. Se tem uma coisa que eu não suporto, são caras sem resistência. Parecia que você ia gozar no segundo em que te vi. Que tal fazermos um pequeno teste e ver onde você se destaca?
22.1|Ok, cadete. Tem umas coisas que você precisa aprender se quiser se dar bem comigo. Se tem uma coisa que eu não suporto, são garotas que não conseguem pegar leve. Acredite ou não, algumas garotas simplesmente não conseguem relaxar e aproveitar cada momento dolorosamente satisfatório comigo. Pelo jeito que você lambeu os lábios e aquele olhar arregalado... Acho que acabei de te descrever como um babaca. Bem, que tal fazermos um pequeno teste e ver onde você se destaca?
23|Nossa, cara. Ok, não vou mentir, isso foi meio patético. Quantos segundos foram? Precisamos mesmo melhorar isso...
23.1|Nossa, gata. Foi quase adorável a rapidez com que você gozou. Quantos segundos foram? Precisamos mesmo trabalhar nisso para que você possa ir mais devagar e aproveitar...
24|Bem, não posso dizer que não pratiquei bastante. Meu recorde é de 3,6 segundos. Mas isso só me torna um bom padrão para julgar. Se você quer uma prova do meu mundo, vai precisar trabalhar nessa resistência.
25|Muita prática? Não tenho todas as respostas, amigo, mas dá para perceber que você fica superduro só de ficar perto de mim. Por que não desacelera um pouco e vê se consegue melhorar? Quando estiver pronto, volte e veremos se você fez algum progresso.
25.1|Muita prática? Não tenho todas as respostas, querido, mas dá para perceber que você está pronto para arrebentar essa calcinha só de ficar perto de mim. Por que não desacelera um pouco e vê se consegue melhorar? Quando estiver pronto, volte e veremos se você fez algum progresso em prolongar o prazer.
26|Parece que você ainda está um pouco prematuro. Mas sinta-se à vontade para voltar e tentar de novo quando tiver descoberto isso. Estarei aqui a noite toda.
26.1|Parece que você ainda está um pouco prematuro. Estarei pronto para outra rodada de êxtase borbulhante na banheira de hidromassagem quando você descobrir. Até lá, cadete.
26.2|Parece que você ainda está um pouco sensível demais, gata. Estarei pronto para outra rodada de êxtase borbulhante na banheira de hidromassagem quando você achar que está pronta. Até lá, cadete.
26.3|Ok... isso foi melhor, mas você ainda não está durando o suficiente para os meus padrões. Sinta-se à vontade para voltar e tentar de novo quando tiver descoberto isso. Estarei aqui a noite toda.
27|Cara. Você está bêbado pra caralho? Como você espera fazer algo assim? Volte para mim quando não estiver tão destruído...
28|Ei, nada mal! Eu ainda poderia ter esperança em você! Eu não conseguia ver o que estava acontecendo aqui dentro, mas dizem que você espancou aquele careca enorme sozinho. É verdade?
28.1|Ei, nada mal! Pode ainda haver esperança para você! Mas antes de prosseguirmos, eu gostaria de saber... como você conseguiu se recompor? Essa informação pode ser útil com um dos meus colegas de trabalho.
29|Parece que você é um cara bem machão. Bem, de qualquer forma, fico feliz em poder te ajudar. Vou voltar para a festa agora, mas certifique-se de usar bem meus ensinamentos, cadete.
29.1|Hmmm, é mesmo? Parece que você é apenas um super-herói comum. Alguém dê uma capa para essa garota. Bem, de qualquer forma, fico feliz em poder te ajudar. Vou voltar para a festa agora, mas não se esqueça de usar bem os meus ensinamentos, cadete.
30|Ah, olha você todo humilde e tudo mais. Você está ficando muito bom em não ser babaca. Acho que você vai gostar da próxima parte do seu treino, mas, infelizmente, tenho um favor enorme para te pedir primeiro...
30.1|Ah, olha você todo humilde e tudo mais. Você está ficando muito bom em não ser babaca.
31|Acha que consegue tirar isso de mim?
32|Vamos lá, garoto. Você consegue. Pense nas bolas peludas do seu avô.
32.1|Vamos lá, gata, respire fundo. Devagar. Saboreie.
33|Que tipo de guloseima você realmente precisa para isso?
34|Que bom que fizemos isso. Acabou sendo muito mais divertido do que eu imaginava. Ah, e diga ao Derek que ele me deve US$ 5,00.
34.1|Eu adoro clientes recorrentes...
35|Claro que sim, cara. Eu jamais recusaria essa oferta!
35.1|Claro que sim, cara! Mas ei, se você está pensando o que eu estou pensando, posso ou não precisar de umas antes de ficarmos picantes. Vamos ver. Até um puro-sangue como eu precisa de uma pausa de vez em quando.
36|Me avise se precisar de ajuda com isso...
37|Caramba, isso sim é que é festa! E vocês não se importam se eu ficar assistindo, né?
38|É melhor me fazer gozar primeiro.
38.1|Mmm, você gosta mesmo de fazer... testes, né? Só não se esqueça que nós, estrelas pornô, também amamos ciência.
38.2|MmmmDpr cdt...gim-allu-got!
38.3|MmmmDpr cdt...!
39|Hum, olá? Já nos conhecemos? Claro que eu assinaria.
40|Uma petição? Já estou entediado, mas vou morder a isca. Qual é o sentido?
41|O que eu tenho a meu favor? E, por favor, não diga que é algum tipo de oportunidade de negócio... essas sempre acabam sendo esquemas de pirâmide para vender velas perfumadas ou algo assim.
42|O quê, como você? Acha que só porque sou atriz pornô, pode me afogar em fotos de pinto? Droga, eu realmente pensei que a Rachael teria feito amigos melhores do que isso.
42.1|Olha, cara, o sexo foi bom e eu queria mais, mas não preciso carregar uma foto do seu pênis dourado no meu celular. Não seja tão infantil e me peça para te foder como um homem de verdade.
42.1| 42.2|Olha, gata, o sexo foi quente e eu queria mais, mas não preciso carregar uma foto dos seus peitos no meu celular para me lembrar de você. Tenho memória fotográfica quando se trata de peitos, paus, bundas e vaginas. Eu sei. É um presente que continua me presenteando. Se quiser me comer de novo, é só pedir como uma menininha e parar de joguinhos, ok?
42.3|Como assim? Acha que só porque sou atriz pornô, pode fazer chover com fotos dos seus peitos? Droga, eu realmente achei que a Rachael teria feito amigos mais legais do que isso.
43|Sra. Vixen. Ah, gostei do som disso. Sabe, talvez eu tenha que pedir para o meu agente me incluir na franquia Professora Favorita para eu poder investir nessa fantasia. Então, você está tentando contribuir para o meu banco de fotos pessoal, ou quer que eu avalie as posições de 0 a 10, ou...
44|Querida, pode falar... a indústria pornográfica. Você quer saber se a garota poderia ser uma atriz pornô? Então me mostre.
45|Espera aí, aqui é a Madison, né?
46|Bem, isso vai ser um problema desde o começo, se ela for muito tímida. Mas tem uma boa pose aqui, uma boa atitude e, definitivamente, um bom corpo. Sabe, um mercado para esse tipo de coisa de "câmera escondida". Todos os participantes estão dispostos, mas é feito para parecer, sabe, incrível.
47|Eu disse que acho que ela tem o corpo. Nunca a vi ir a Jesus de salto. Nunca a vi fazer o bacon. Ninguém? Alguém entende o que eu estou dizendo? Você nunca a viu transando!
47.1|Bem, eu sei que ela tem o corpo e sei que ela se vira na cama, então confira e confira. O problema é que não sei como ela vai se comportar diante das câmeras. Nunca fiquei parado olhando ela ir para Jesus. Nunca a vi fazer bacon. Nunca a vi ficar com o mano dela. Alguém? Algum de vocês dois está percebendo o que estou escrevendo?
48|Meus agentes. Não temos supervisores, eu não vivo em um universo distópico de romances para jovens adultos, obviamente. Imaginei que, já que meus peitos estão na internet, eu daria o braço a torcer. Mas é, se conseguirmos combinar as coisas para que eu possa vê-la em ação, vou gravar alguns vídeos e entrar em contato com as pessoas certas. Parece bom?
49|Ei, estou aqui só para brincar com a Rachael, eu nem conheço a maioria dessas pessoas. E assim por diante, manos.
50|Esses dois são intensos. Estou curtindo muito isso. Meus agentes vão adorar essa coisa. Adoro!
50.1|Esses dois são intensos. Além disso, eu coloquei vocês dois nisso também! 2 por 1, puta merda, eu estou realmente curtindo isso. Meus agentes vão adorar essa coisa. Adoro!
51|Vou mandar depois do grand finale. Você nunca viu um filme pornô, Ash? Meu Deus, alguém tem uma escova de dentes elétrica ou algo assim? Estou realmente surfando nessa onda, se é que você me entende.
52|Espera aí, Madison não sabia? Madison, você queria fazer um teste para a minha agência de talentos... certo?
53|É, e pornografia?
54|Puta merda, eu conheço bem esse tom de voz. Ashley, se abaixa para eu ver... vocês dois estão prestes a ficar com tesão pra caralho. Estou falando de bruços, bunda pra cima, é assim que eu gosto-...
55|Merda, a libido desse cara está falando demais. É melhor torcer para que ele não comece a se impor, Ashley. Vai ser como um impasse mexicano aqui... estilo Tarantino. Ele faz o dele, eu faço o meu... você vai acabar no fogo cruzado.
55.1|Puta merda, a libido dessa garota está tomando conta dela. É melhor torcer para que ela não comece a se dar mal, Ashley. Vai ser tipo um impasse mexicano aqui... estilo Tarantino. Mãos na boceta como se estivéssemos pegando uma arma... você vai ser pega no fogo cruzado.
56|O Cabo Clitflicker vai estragar o vídeo! Ashley, você tem que fazer o que tem que fazer. Eu levaria um tiro eu mesmo, mas Madison e Derek estão ganhando dinheiro aqui, e eu tenho que gravar tudo. Você consegue, soldado. Coloque essa bomba peniana na boca antes que ela dispare!
56.1|Mmmm... A Madame Clitflicker vai estragar a filmagem! Ashley, você tem que fazer o que tem que fazer. Eu levaria um tiro eu mesmo, mas Madison e Derek estão ganhando dinheiro aqui, e eu tenho que gravar tudo. Você consegue, soldado!
57|A confirmar
58|Soldado, eu diria que esta é a nossa chance de entrar e contar a eles o show que eles deram. Abram bem essas portas!
58.1|Dupla gozada! Soldado, este pode ser o meu melhor trabalho até agora. Eu diria que esta é a nossa chance de entrar e contar a eles o show que eles deram. Abram bem essas portas!
58.2|Dupla gozada! Soldado, este pode ser o meu melhor trabalho até agora. Eu diria que esta é a nossa chance de entrar e contar a eles o show que eles deram. Abram bem essas portas!
59|Regra número um da produção pornográfica: nunca interrompa o cinegrafista.
60|
61|Estou nessa nessa. Admito, gosto de ser controlado.
62|Você deveria tomar cuidado com esses vaporizadores, cara. Eu tive um parceiro que perdeu todo o efeito do pau depois de usar essa porra por muito tempo. Ele teve que mudar o nome de Zak de Pênis Duro para Zak de Meio-Pé. Eles não agendam mais.
63|Aham. A) Se eu fosse qualquer outra mulher, isso seria horrível para você. B) Eu deveria gostar disso? Você deveria? Você acabou de enfiar a palma da mão suada inteira no meu peito, como se tivesse a resposta para "ALEX, EU ACEITO: COMO SER INCEL POR 800 DÓLARES". C. Esse é o meu tamanho de sutiã. Caso seja isso que você esteja procurando.
63.1|Meu Deus, MEU DEUS! Eu... eu não acredito nisso! Como pode... como alguém tão incompetente em apalpar uma garota pode? Sai daqui, você vai ter que se esforçar muito mais para conseguir isso. Meu Deus, eu me sequei imediatamente. Como se alguém tivesse colocado uma lixa no micro-ondas...
64|Nós realmente vamos ter que melhorar sua técnica. Você tem muito a aprender. Mas eu gosto da apreciação. Vamos lá... continue apreciando.
65|Oooh... lá vamos nós. Você chegou na fase de "aguentar firme", né? A maioria das pessoas não dura muito depois disso...
65.1|Mmm, sem dúvida, concentre-se nisso. Mas olhe nos meus olhos quando terminar.
66|Nossa. Você tem jeito com as mulheres. Como alguém poderia resistir a esse tipo de movimento? Você sabe que tramas pornográficas não funcionam da mesma forma na vida real... certo? Eu não vou pagar por uma "ajuda" com quarenta minutos de sexo alucinante. Embora, sejamos honestos, seriam mais como dois.
67|Isso... não limita. Tenho quase certeza de que há alguns banheiros e quartos aqui, e não há um chuveiro externo à vista. Obrigada de qualquer forma, vou ver se consigo encontrar.
68|Hã, não. Por mais tentador que seja, se eu for me entregar a um voyeurismo à moda antiga, não será com você como meu acompanhante.
68.1|Olha só você, cheia de iniciativa e... coragem. Está praticamente escorrendo de você. Eu topo. Me aponte a direção certa, rápido!
69|Ah, qual é, eu não beijo e conto para ninguém. Beijo e cuspo, bola de neve, talvez... mas informação privilegiada não é barata, a menos que você tenha ganhado meu desconto de "amiga com benefícios".
69.1|*Zombaria* Você acha que ter um mandelier pendurado na parede te deixa gostosa? A indústria não se importa com o tamanho das suas pedras; o que realmente importa é o tamanho do seu pênis.
70|Isso é surpreendente? Paus grandes são o que as garotas realmente sentem quando são fodidas. Dã.
71|Acho que você vai gostar da próxima parte do seu treinamento, mas, infelizmente, preciso te pedir um grande favor primeiro...
72|E mais uma coisa, cadete. Eu não fico louca com qualquer uma, então, em algum momento da noite, você tem que me provar que é capaz de conversar e seduzir no meu nível, e que te ajudar vai valer a pena. Um bom e LONGO tempo. O retorno do investimento também é importante na pornografia, sabia?
73|Para começar, espero que você tenha uma língua de prata nessa sua boca deliciosa. O que estaríamos propondo pode não ser a primeira coisa na mente do nosso alvo. E isso significa que você vai ter que falar docemente. Isso vai ser muito mais convincente do que você ficar aí parado parecendo idiota enquanto eu faço todo o trabalho. Se você não consegue lidar com isso, estamos encrencados. Bem, você está. Eu vou conseguir o que quero, não importa o que aconteça.
74|Sabe de uma coisa, cadete? ...É. É, estou impressionado. Graças a mim, você é um cara durão de verdade e alguém que eu não teria vergonha de reconhecer em público. Mas não fique tão orgulhoso de si mesmo. Você ainda precisa fazer mais "amigos especiais" hoje à noite, lembra? Seja um amor e encontre outro amante para nós, ok?
75|Awww, cadete. Tsc tsc tsc. Ainda é uma decepção. Mas eu gosto da confiança. Sério, DAR O SEU MÁXIMO e fracassar miseravelmente, em público, onde as pessoas possam te ver? Respeito.
75.1|Bem, ainda não está ótimo, cadete. Nem bom, na verdade. Mas estou me sentindo um pouco menos desgastado. Faça o que fizer, continue. Você consegue!
76|Boa escolha, cadete! Espero que você tenha acalmado as coisas o suficiente para que eu possa fazer minha mágica. Só posso fazer até certo ponto se você já conseguiu fazer uma bagunça. Além disso, você é meu parceiro, então fique comigo e esteja preparado para pensar rápido. Siga meu exemplo e tudo vai ficar bem. Não estrague tudo!
76.1|Você acha que a Madison vai aguentar depois da merda que fizemos? Tudo bem, cadete. Vou confiar em você se acha que a compensou, mas ela ficou bem irritada. Vamos dar uma chance. Pelo menos vai ser divertido.
77|Mmmm, não, desculpe, cadete. Eu não faço esse tipo de coisa com celebridades. Sempre acaba em drama. E alguns meses de hashtags sexualmente desconfortáveis. E, inevitavelmente, lágrimas... não minhas, obviamente.
78|Tudo bem, tudo bem, cadete. Acho que consigo me entreter um pouco. Mas só porque eu tenho fé que você está tentando fazer dessa a transa mais sexy que eu já tive em... doze a vinte e quatro horas.
78.1|Nossa, cadete. Mais assaltos? Eu consigo me entreter por um tempo, mas suas chances de um ménage à trois estão diminuindo a cada minuto. É melhor que esse pequeno atraso valha a pena.
79|Droga, cadete! Eu te disse para ficar perto de mim. Gosto de fazer muitas coisas sozinho, mas esse tipo de coisa geralmente acaba no meu OnlyFans. Da próxima vez que eu disser para você continuar, faça o que eu digo! E diga "sim, senhora" enquanto faz. Eu gosto de submissão.
79.1|Que diabos, cadete?! Eu não disse que não faria TODO o trabalho? Aparentemente, acompanhar uma garota enquanto ela propõe uma festa de sexo fantástica é pedir demais. Às vezes me pergunto por que me dou ao trabalho.
80|Cara, você só tinha um trabalho! Tudo o que você precisava fazer era encontrar UMA pessoa que não conseguisse irritar completamente, e eu não sou fã desse drama todo. Pare de me fazer perder tempo, cadete, e venha me ver quando estiver recuperado.
80.1|Nossa, tem alguma coisa que você não conseguiu estragar hoje à noite, cadete? Esqueça a vontade de transar... alguém GOSTA de mim nessa festa? Estou pensando seriamente em mudar nossos planos para hoje à noite.
81|... Qual é, cadete. Ou você não investiu tempo suficiente para fazer essa festa te agradar, ou está sendo preguiçoso e esperando que eu faça todo o trabalho. Se você quer uma chance de fazer isso acontecer, vai ter que se esforçar mais!
81.1|Isso realmente não está indo como eu esperava. Por que você não tira um tempo e pensa bem nos seus próximos passos, porque estou começando a achar que você vai acabar com a minha reputação agora, e na indústria pornográfica, reputação é TUDO?
82|Que porra foi essa?! Achei que você tinha dito que aguentava ser um bom parceiro? Vai ter que se esforçar mais se quiser alguma chance de isso dar certo hoje à noite. Você está como um cervo no meio dos faróis... ou, não, não, pior. Mais como um bebê pego pelos faróis. Por que você não... sei lá, vai praticar na frente de um espelho ou algo assim e volta para mim quando estiver pronto?
82.1|Cadete! Argh! Você está tentando estragar nosso plano de propósito?! Isso é uma piada com você? Argh. Vou respirar fundo e talvez reconsiderar minha escolha de companhia para hoje à noite.
83|Escute, cadete. Eu gosto de você. Gosto mesmo. E entendo que você esteja tentando, mas acho que isso não está funcionando. Você teve várias chances e continua errando. Por que não damos um tempo por enquanto e nos concentramos em aproveitar outros aspectos da noite, hmm? Gosto de manter o sexo como algo positivo na minha vida, e você está me estressando sem parar.
84|Sigam-me, pessoal. Se tem uma coisa em que sou excelente, é encontrar o lugar perfeito para transar. Para esta sessão em grupo, eu conheço o lugar perfeito. Continuem assim, cadetes, ou vocês podem ficar de fora!
85|Oi, Amy. Você é nova na cidade, certo? Nunca te vi saindo com os outros antes. Mas você é bem adorável. O que você acha de nós três irmos a algum lugar e sermos adoráveis juntos? Ah, e pelados. Muito nus. Se é que você me entende.
86|Amy, certo? Minha amiga aqui e eu não conseguimos deixar de notar como você está... nua. Isso está nos deixando bastante desconfortáveis porque nós duas temos uma vontade incontrolável de te foder até a morte. O que você diz? Lá embaixo?
86.1|Ei, Amy. Minha amiga aqui me disse que você é muito boa de cama, mas eu não acredito. Quer provar que estou errada mostrando para nós duas o que você sabe fazer? ...Ao mesmo tempo, é claro.
87|Amy. Você está fazendo aquela coisa de "falar demais" de novo. Venha conosco, e encontraremos outros usos para essa sua língua.
88|Ah, Ashley. A adorável irmãzinha da Madison. Alguém já te disse como é fácil olhar para você? E o jeito que seus peitos imploram para serem tirados dessa blusa... mmm. Tenho uma proposta. Que tal você deixar minha amiga puxar aquele cordinha nas costas do seu vestido e, assim que esses peitos lindos estiverem livres, eu imediatamente os coloco na boca? Ah, e obviamente depois disso, nós três transamos como coelhos. Por favor, me diga que você está por baixo. Fiquei toda molhada só de pensar nisso.
89|Bem, se não uma mocinha, peitos lindos pessoalmente. Preciso te dizer, Brittney, conheço alguns produtores que implorariam para ter esses seus peitos lindos na tela. Mas eu, estaria disposta a me contentar com uma exibição privada e exclusiva. O que você diz? Que tal nós três nos sujarmos um pouco entre os lençóis?
90|Você me fez "dar um tapa na minha bunda". Vamos enlouquecer com isso!
91|Ei, Derek! Um passarinho me disse que você tinha o pau mais impressionante da festa. Ok, bem, eu era sua amiga aqui. No entanto, nós duas estávamos conversando e adoraríamos experimentar. Quer se divertir?
92|Ei, Franklin! Dizem por aí que você é meu maior fã. Estou a fim de me divertir. O que você acha de eu e meu parceiro conhecermos um pouco mais intimamente algumas regiões do seu corpo, que também ouvi dizer que são bem grandes?
93|Frank, o acordo é nós dois, ou nenhum de nós.
93.1|Vamos lá, Frank, jogue limpo. Prometo que você vai esquecer essa cara de merda depois que comer a minha.
94|Frank... isso está acontecendo. AGORA.
94.1|Frank, o que eu disse?
95|Ei, Katherine! Adorei a roupa. Você parece uma safada de lençóis. Quer testar minha teoria? Estávamos quase subindo as escadas.
96|Ei, Leah. Gosto que você use roupas largas. Isso vai me poupar tempo tirando-as. Quer dizer, se você estiver interessada em se juntar a mim e à minha amiga para uma diversão pelada...
96.1|Ei, Leah! Preciso dizer que a única roupa que eu gosto mais do que roupas largas é nada. Será que isso me poupa de ter que tirá-las se, digamos, você estivesse interessada em se juntar a mim e à minha amiga para uma diversão pelada?
97|Ah, droga. Estou até com um pouco de medo. Mas principalmente excitada...
98|Ei, Madison. Obrigada por me convidar para essa festinha legal que você está dando aqui. Deve ser um trabalho difícil ser a anfitriã da festa sozinha. Isso pode ser estressante. O que você acha de eu e essa gostosa aqui irmos para o seu quarto e tentarmos nos aliviar? Nuas, de preferência.
98.1|Ei, Madison. Hum... lembra da gente? Obrigada por nos convidar para a festa! Estávamos pensando se você gostaria de subir com a gente e ficar um pouco esquisita debaixo dos lençóis! Talvez aliviar um pouco o estresse da anfitriã da festa. O que você acha?
99|Oooh, agora sim. Ok, cadete, aperte os cintos. A coisa vai ficar séria.
100|Bom trabalho, cadete! Pode acabar me chamando de Tenente antes do fim da noite! Ou talvez prefira senhor? Por favor, senhor... quer me comer?
101|Ei, Patrick! Tem uma garrafa de vinho debaixo da sua calça ou você só está feliz em me ver? Espera, nem responda. Você está com álcool ou um pau duro, então está bem equipada de qualquer maneira, o que me leva à minha próxima pergunta. Gostaria de ter um momento sexy só nós dois?
102|Nossa, você já está... nua. Impressionante. Quanto à Rachael, por que você não desiste enquanto está ganhando e aceita o acordo como está?
103|Ei, bicha! Obrigada por me convidar para a festa. Estou me dando bem com uma linda jovem parada ao meu lado, e fiquei pensando... não exatamente. EXIJO que você participe e me ajude a colocar esses olhinhos lindos de volta nas órbitas. O que me diz?
104|Sério? Droga, eu meio que esperava que vocês dois tivessem se conhecido melhor.
104.1|Ora, ora, parece que vocês dois começaram com o pé esquerdo, o que significa que nenhum de nós vai começar agora. Triste!
105|Ei, ei, pequena senhorita rainha do baile. Você suava a noite toda. Que tal dar um tempo e nos deixar transar com você até cansar? Desculpe, fui um pouco precipitado?
106|Ok, Cadete, temos um grande problema. Todos os meus lugares favoritos para transar já estão ocupados, e a maioria está ocupada por causa de toda essa merda que você anda fazendo quando deveria estar me colocando em primeiro lugar. Vá terminar qualquer outra travessura em que esteja se metendo e venha falar comigo quando terminar.
107|Droga, parece que nosso alvo está meio ocupado agora. Tsk tsk, como eles ousam interferir nos MEUS planos! Sorte deles, pretendo ficar um pouco hoje à noite. Podemos tentar de novo mais tarde. Na minha experiência, você sempre consegue um resultado melhor pedindo para alguém te foder quando NÃO está ocupado com outra coisa.
108|Vamos lá, Cadete. Eu disse "siga minha liderança", não disse? Não me lembro de ter te dito para falar com ninguém. Você realmente precisa aprender a ouvir instruções se quiser que isso funcione hoje à noite.
108.1|Siga. Minha. Liderança! Essas palavras não estão no seu vocabulário, cadete? Deixe as apresentações comigo e não tente fazer isso acontecer sozinho, porque as chances de isso acontecer são tão pequenas quanto o pau do meu primeiro colega de elenco... e quem sabe quando foi a última vez que você transou com aquele cara. Na verdade, eu... acho que ninguém sabe. Não deixe isso acontecer com você, ok?
109|Ei! Lembra da gente? Tivemos aquela conversa adorável com vocês sobre todos nós deixarmos nossas bandeiras de aberração tremularem juntos, e vocês ficaram tipo "claro que sim!" e então... bem, você sabe o que estou tentando dizer. Nós todos íamos transar. Enfim, vamos tentar de novo. Isto é... se você ainda estiver interessado?
109.1|Bem, bem, estou com vontade de te ver de novo. Lembra quando nós três conversamos mais cedo? Era sobre transarmos juntos, se bem me lembro. Enfim. Nós dois vamos tentar de novo, e ainda temos espaço para mais um. Ainda aí embaixo?
110|Ei, Cadete, não sei o que é, mas aparentemente você fez alguma coisa entre alguns minutos atrás e agora, e estragou totalmente o clima. Não sei como conseguiu estragar isso tão rápido, mas no futuro talvez você queira ficar do lado de alguém quando estiver a caminho de... sabe... transar com ele?
110.1|Ei, Cadete! Não sei o que aconteceu entre vocês dois nos últimos minutos, mas aparentemente você é muito bom em irritar as pessoas. Muito rápido. E isso significa nada de pegação para ninguém! Se juntem e façam as pazes se quiserem tentar de novo, e pelo bem da minha libido, parem de incomodar as pessoas!
111|Ok, escutem, cadetes! Estamos prestes a transar! Ninguém sai até que todos gozem. Entenderam? Ok!
111.1|Aqui estamos! Aliás, se alguém aqui nunca fez isso antes com uma brisa fresca fazendo cócegas na bunda, você vai se divertir. E não tenha vergonha de estar lá fora. Ninguém vai se importar. Aliás, você está comigo, então eles vão achar que é bem normal. Você vai estar ocupado demais transando para se importar de qualquer jeito. Aliás, TODA a sua transa deveria ser direcionada a MIM por enquanto. Agora vamos começar, certo?
111.2|Ok, fiquem comigo aqui, pessoal. Estamos fazendo isso aqui mesmo! Eu adoro transar ao ar livre. É uma adrenalina! Se algum de vocês, iniciantes, estiver com vergonha, apenas limpe a mente e esqueça os olhares curiosos e os olhares errantes. Você não vai querer prestar atenção em nada disso de qualquer jeito. Vou precisar de 100% da sua atenção de qualquer jeito. Hora de explodir, cadetes! Vamos nessa!
