[General]
A Dildo|Um vibrador
Cock Keyring|Chaveiro
Coffee|Café
Collar|Coleira
Compubrah|Compubro
Computer|Computador
Condom|Preservativo
Couch (L)|Sofá (Esq.)
Couch (M)|Sofá (Centro)
Couch (R)|Sofá (Dir.)
Credit Card|Cartão de crédito
Cucumber|Pepino
Dan|Dan
Dark Long Sleeve Women's Top|Blusa feminina de manga longa
Dead Snake|Cobra morta
Derek's Shirt|Camiseta do Derek
Derek|Derek
Desk Drawer (L)|Gaveta da escrivaninha (Esq.)
Desk Drawer (R)|Gaveta da escrivaninha (Dir.)
Dining Chair 2|Cadeira
Dining Chair|Cadeira
Dining Room TV|Televisão
Discarded Magazine|Revista descartada
DLiciousOutfitCustomCantDoThatMessage|Não preciso lavar isso...
Doja Cat's MP3 Player|MP3 da Doja Cat
Doja Cat|Doja Cat
Drawer (L)|Gaveta (Esq.)
Drawer (R)|Gaveta (Dir.)
Dresser|Cômoda
Drone|Drone
Dryer Door|Porta da secadora
Dryer Seat|Assento da secadora
Dryer|Secadora
Duct Tape|Fita adesiva
Dusty Penguin|Pinguim empoeirado
DVD|DVD
Eggs|Ovos
El Escorpion Mezcal|El Escorpion Mezcal
Empty Cup|Copo vazio
Empty Vodka Bottle|Garrafa de vodka vazia
Face Cream|Creme facial
Fast Food Bag|Saco de fast food
Faucet|Torneira
Fifty Dollars|Cinquenta dólares
Film Camera|Câmera de filme
Fire Pit|Fogueira
Fireplace|Lareira
Flask|Frasco
Flower|Flor
Foam Finger|Dedo de espuma
Frank's Chair|Cadeira do Frank
Frank|Frank
Freezer|Freezer
Fridge|Geladeira
Front Door|Porta da frente
Garage Air Vent|Saída de ar da garagem
Garage Door|Porta da garagem
Gastronomy Book|Livro de gastronomia
Gazebo Fuse Box|Caixa de fusíveis do gazebo
Glasses|Óculos
Goodbye Kitty Underwear|Roupa íntima Goodbye Kitty
Gut Grip|Gut Grip
Gutter|Calha
Hammer|Martelo
Hot Tub (B)|Banheira de hidromassagem (Traseira)
Hot Tub (F)|Banheira de hidromassagem (Frontal)
Hot Tub (L)|Banheira de hidromassagem (Esquerda)
Hot Tub (R)|Banheira de hidromassagem (Direita)
Hot Tub Cover Stage|Palco (Capa da jacuzzi)
Hot Tub Cover|Capa da jacuzzi
Hot Tub|Banheira de hidromassagem
Jack Daniel's|Jack Daniel's
Joint|Baseado
Katana|Katana
Katherine|Katherine
Kettle|Chaleira
Key2CustomCantDoThatMessage|A chave é um pouco grande demais...
KeychainCustomCantDoThatMessage|*Você sente algo parecido com um Patrick... causando movimentos intestinais violentos...*
KeyCustomCantDoThatMessage|A chave é um pouco grande demais...
Knife|Faca
Laptop|Laptop
Laundry Room Door|Porta da lavanderia
Lawn Chair|Cadeira de jardim
Laxatives|Laxantes
Leah|Leah
Lety|Lety
Liz Katz's Butt|Bumbum da Liz Katz
Liz Katz|Liz Katz
Loop Track 1|Repetir faixa 1
Loop Track 2|Repetir faixa 2
Loop Track 3|Repetir faixa 3
Loop Track 4|Repetir faixa 4
Loop Track 5|Repetir faixa 5
Loop Track 6|Repetir faixa 6
Madison's Diary|Diário da Madison
Madison|Madison
Mama Chupacabra's|Mama Chupacabra
Marijuana|Maconha
Master Bathroom Door|Porta do banheiro principal
Master Bedroom Door|Porta do quarto principal
Matchbox|Caixa de fósforos
Mayonnaise|Maionese
Media Dock|Adaptador bluetooth
Merlot|Merlot
Microwave Door|Porta do micro-ondas
Microwave|Micro-ondas
Money Makers Monthly|Money Makers Monthly
Motor Oil|Óleo de motor
Mound of Dirt|Monte de terra
MP3 Player|MP3
Mug|Caneca
Murderer's Hammer|Martelo do assassino
Mysterious Key|Chave misteriosa
Nana's Special Mistletoe|Visco especial da vovó
Natty Lite 10|Natty Lite 10
Natty Lite 11|Natty Lite 11
Natty Lite 12|Natty Lite 12
Natty Lite 13|Natty Lite 13
Natty Lite 14|Natty Lite 14
Natty Lite 1|Natty Lite 1
Natty Lite 2|Natty Lite 2
Natty Lite 3|Natty Lite 3
Natty Lite 4|Natty Lite 4
Natty Lite 5|Natty Lite 5
Natty Lite 6|Natty Lite 6
Natty Lite 7|Natty Lite 7
Natty Lite 8|Natty Lite 8
Natty Lite 9|Natty Lite 9
Natty Lite Open|Natty Lite Aberta
Natty Lite|Natty Lite
Nightstand (L)|Criado-mudo (Esq.)
Nightstand (R)|Criado-mudo (Dir.)
Nightstand Drawer 1|Gaveta do criado-mudo 1
Notebook|Caderno
Office Chair|Cadeira de escritório
Open Briefcase|Maleta aberta
Open Toilet|Vaso sanitário
Orange Bin|Recipiente laranja
Outside Sofa (L)|Sofá de jardim (Esq.)
Outside Sofa (M)|Sofá de jardim (Centro)
Outside Sofa (R)|Sofá de jardim (Dir.)
Outside Sofa 2 (L)|Sofá de jardim 2 (Esq.)
Outside Sofa 2 (M)|Sofá de jardim 2 (Centro)
Outside Sofa 2 (R)|Sofá de jardim 2 (Dir.)
Paddock Button|Botão
Painkillers|Analgésicos
Painting and Easel|Pintura e cavalete
Pantry Door (L)|Porta da despensa (Esq.)
Pantry Door (R)|Porta da despensa (Dir.)
Paper Bag Crunched|Saco de papel amassado
Paper|Folha
Patio Armchair (L)|Poltrona do pátio (Esq.)
Patio Armchair (R)|Poltrona do pátio (Dir.)
Patrick's Head|Cabeça do Patrick
Patrick's Phone|Telefone do Patrick
Patrick|Patrick
Pencil|Lápis
PenguinCustomCantDoThatMessage|Eles ainda não estão prontos para serem amigos de nadadeira!
Petition|Petição
Phone Call|Chamada telefônica
Phone2|Telefone2
Pizza Box|Caixa de pizza
PlanksFortificationExtraNails|Barricada
Play All|Reproduzir tudo
Plexiglass Stage|Palco (Plexiglass)
Plexiglass|Plexiglass
Popcorn|Pipoca
Potatoes|Batatas
Pouf|Pufe
Practice!|Pratique!
Printer|Impressora
Rachael|Rachael
Ripped Whale Poster|Pôster de baleia rasgado
Room Door|Porta do quarto
Router|Roteador
Rum|Rum
Safe|Cofre
Salami|Salame
Salmon|Salmão
Satchel|Bolsa tiracolo
Scorpion Tequila|Tequila com escorpião
SD Card|Cartão SD
Shake Light|Lanterna de energia cinética
Sleazy Sancho|Sancho
Sleeping Mask|Máscara de dormir
Slider Door|Porta deslizante
Snowball Bucket|Balde de bolas de neve
Soda|"Flight Max"
Sofa (L)|Sofá (Esq.)
Sofa (R)|Sofá (Dir.)
Spare Room Door|Porta do quarto de hóspedes
Spare Room Sofa (L)|Sofá do quarto de hóspedes (Esq.)
Spare Room Sofa (M)|Sofá do quarto de hóspedes (Centro)
Spare Room Sofa (R)|Sofá do quarto de hóspedes (Dir.)
Speaker|Alto-falante
Spoon|Colher
Spray Paint|Spray de tinta
Starbomb Box|Caixa de bombas Starbomb
Step Stool|Banquinho
Stephanie|Stephanie
Stingy Pinchy Boi|Escorpião perigoso
Stove|Fogão
Study Door|Porta do escritório
Sundress|Vestido de verão
Sunglasses|Óculos de sol
Suspicious Hole|Buraco suspeito
Sweeties|Docinhos
Tablet|Tablet
Tentacle|Tentáculo
Terrarium|Terrário
Thermostat|Termostato
Thermos|Garrafa térmica
Tiny Key|Chave pequena
Toaster|Torradeira
Towel2|Toalha2
Towel3|Toalha3
Towel|Toalha
Trash Can|Lixeira
Trunk Key|Chave do porta-malas
Trunk|Porta-malas
TV Remote|Controle remoto
Upstairs Bathroom Door|Porta do banheiro de cima
USB Stick|Pen drive
Utility Closet Door|Porta do armário de utilidades
Valentine's Chocolates|Bombons de Dia dos Namorados
Vanity Chair|Cadeira da penteadeira
Vape|Cigarro eletrônico
Vibratron 3000|Vibratron 3000
Vickie's Panties|Calcinha da Vickie
Vickie|Vickie
Vodka|Vodka
Voice Recorder|Gravador de voz
VoiceRecorderCustomCantDoThatMessage|E desperdiçar um perfeito Radio Shack special de $7,99? Nem pensar!
Washer|Máquina de lavar
Water Main|Tubo de água
Weird Dinosaur Suit|Fantasia estranha de dinossauro
Whack Spankiel's|Whack Spankiel
Whale Poster|Pôster de baleia
Whipped Cream|Chantilly
Window|Janela
Wizbanger Poppers|Estalinhos Wizbanger
Wood Planks|Tábuas de madeira
Wrench|Chave inglesa
You|Você

[Item Actions]
Finger Her|Ditalino
Flash;Breasts|Mostrar seios
Flick Boob|Dar um tapa no seio
Fuck;(POV)|Foder;(Ponto de vista)
Fuck|Foder
Get Fingered|Ser ditalinada
Get Head|Receber um blowjob
Give Head|Fazer um blowjob
Give|Dar
Grab Snowball|Pegar a bola de neve
Grab the Head|Agarrar a cabeça
Grab Waist|Agarrar a cintura
Hands;Behind Back|Mãos;atrás das costas
Hands;Behind Head|Mãos;atrás da cabeça
Help|Ajuda
Her|Ela
Hide Inside|Esconder-se dentro
Hold in Hand|Segurar na mão
Hold|Segurar
Hop Up|Subir
Inspect|Inspecionar
Instructions|Instruções
Invite Lety|Convidar Lety
Kick Open|Chutar para abrir
Kneel|Ajoelhar-se
Knock|Bater
Latch|Fechar
Lay Down|Deitar
Lety|Lety
Lick Boob|Lamber o seio
Light Off|Desligar a luz
Light On|Ligar a luz
Listen...|Ouça...
Lock|Trancar
Loop Current|Repetir a música atual
Loop|Repetir
Loot|Vasculhar
Masturbate|Masturbar-se
Missionary (Swap)|Missionário (troca de posição)
Missionary|Missionário
Move Aside|Afaste-se
N-n-no!|N-n-não!
Next Track|Próxima faixa
Nnnooooo!|Nnnooooo!
No Thank You, Kraken|Não, obrigado, Kraken
No-no-no!|Não-não-não!
No!|Não!
No.|Não.
Noo!|Não!
Open AC App|Abra o aplicativo do ar condicionado
Open Slowly...|Abra lentamente...
Open...;(POV Intimacy)|Abra...;(Intimidade interativa)
Open...|Abra...
Open|Abra
Panties Off|Tire as calcinhas
Peek Into|Espie
Pee|Faça xixi
Peruse|Examine
Pick|Escolha
Pinch Boob|Belisque o seio
Play All|Reproduzir tudo
Play|Reproduzir
Poke Boob|Cutuque o seio
Poke;Ass|Cutuque a bunda
Poke;Chest|Cutuque o peito
Poke|Cutuque
Pose Radial|Menu de posição
Press the Button|Pressione o botão
Prev Track|Faixa anterior
Print Petition|Imprimir petição
Punch|Soque
Put Away|Guarde
Put On;Bottoms|Vista roupa; inferior
Put On;Boxers|Vista cueca boxer
Put On;Bra|Vista sutiã
Put On;Everything|Vista tudo
Put On;Panties|Vista calcinhas
Put On;Shoes|Vista sapatos
Put On;Top|Vista top
Put the Head In|Coloque a cabeça dentro
Rachael|Rachael
Reach For|Alcance
Read|Leia
Remove Panties|Tire as calcinhas
Remove;Bottoms|Tire roupa; inferior
Remove;Boxers|Tire a cueca boxer
Remove;Bra|Tire o sutiã
Remove;Everything|Tire tudo
Remove;Panties|Tire as calcinhas
Remove;Shoes|Tire os sapatos
Remove;Top|Tire a blusa
Reset Breaker|Recoloque o disjuntor
Reset Fuse|Recoloque o fusível
Return to Desktop|Retorne à área de trabalho
Ridiculous;CutScene|Cena ridícula
Roast the Head|Asse a cabeça
Rub|Esfregue
Rummage|Vasculhe
Scissor|Tesoura
Search|Pesquise
Secret Boob;Options|Opções de seios secretos
Secure|Prenda
Select|Selecione
Set Free|Libere
Sex Radial|Menu radial (sexo)
Shake|Sacuda
Sheath;Penis|Envaine o pênis
Shoes Off|Tire os sapatos
Shoo the Stranger Away|Mande a estranha embora
Sign Into YouTool|Acesse o YouTool
Sit|Sente-se
Sixty Nine|69
Skip to;After Blackout|Pular para;após o blecaute
Skip to;Blackout|Pular para;blecaute
Skip to;Vent Minigame|Pular para;minijogo de ventilação
Slap Awake|Acordar com tapas
Slip Item;Into Pants|Coloque o item;nas calças
Smell|Cheire
Spank|Dê uma palmada
Squeeze Boob|Aperte o seio
Start Music|Inicie a música
Start|Comece
Stop Microwave|Pare o microondas
Stop Music|Pare a música
Stop;Dancing|Pare de dançar
Stop;Masturbating|Pare de masturbar
Stop;Peeing|Pare de urinar
Stop|Pare
Suck Boob|Chupe o seio
Swordfight|Luta de espadas
Take a Selfie|Tire uma selfie
Take Bag|Pegue a sacola
Take One|Pegue uma
Take Panties|Pegue as calcinhas
Take Photo|Tire uma foto
Take|Pegue
Talk|Converse
Tamper|Mexa
Tap|Toque
Throw Beer On|Jogue cerveja em
Throw Dildo|Jogue o vibrador
Throw One|Jogue uma
Top Off|Tire a blusa
Touch Herself|Toque-se
Turn Off;Shake Light|Desligue;luz de indução
Turn Off|Desligue
Turn On;Shake Light|Ligue a luz de indução
Turn On|Ligue
Twist Boob|Torça o seio
Unlatch|Abra
Unlock|Desbloqueie
Unpack|Descompacte
Untie|Desate
Use VR|Use o VR
Use With...|Use com...
View Photos|Veja as fotos
Voicemail|Correio de voz
...Brah?!|...Irmão?!
...Insert|...Insira
...No!|...Não!
...No?|...Não?
Against Wall (Swap)|Contra a parede (troque de posição)
Against Wall;New Position|Contra a parede;nova posição
Against Wall|Contra a parede
Approach|Aproxime-se
Bang|Bata
Bend Over|Curve-se
Blaze|Fume
Blow|Chupe
Bottom Off|Tire a saia
Browse YouTool|Navegue no Youtool
Calendar|Calendário
Clean the Microwave|Limpe o microondas
Climb|Escalar
Clitpocalypse|Clitpocalipse
Close AC App|Feche o aplicativo de ar condicionado
Close|Fechar
Contacts|Contatos
Cover;Breasts|Cubra os seios
Cowboy (Swap)|Cowboy (troque de posição)
Cowboy|Cowboy
Cowgirl|Cowgirl
Create Petition|Criar petição
Dance...;Betterer|Dance... melhor
Dance|Dance
Default Options|Opções padrão
Default Radial|Menu radial (padrão)
Default;Radial|Menu radial (padrão)
Dev Radial|Menu radial do desenvolvedor
Disassemble|Desmontar
Doggy (Swap)|Cachorrinho (trocar pos.)
Doggy|Cachorrinho
Drink From|Beba de
Drink|Beba
Eat Out|Cunnilingus
Eat|Coma
Expose;Penis|Expor;Pênis
Feed the Kraken|Alimente o Kraken

[Events]
ff8a45b3-c77b-4e83-b249-01c6b2e28df8|Droga, talvez eu nunca mais consiga ganhar a confiança do Frank...
ffa6e01d-7608-4c40-afee-0bbdac5c818e|Você desbloqueou a calcinha Goodbye Kitty para a Amy no personalizador!
ffe671c3-7663-4921-94c4-ea2e92b58857|Dinolicious voltou, querida!
fff6b058-20dc-4a87-af3f-3e5bec1c95ac|Não estou exatamente vestida para a ocasião...
Filled Flask|Frasco cheio
Hot Chocolate|Chocolate quente
Hot Coffee|Café quente
Laxatives|Laxantes
Lit Joint|Baseado
Madison's Phone|Telefone da Madison
Mug|Caneca
Patched Dinolicious Suit|Traje Dinolicious Remendado
Struggle Bus Penguin|Pinguim problemático
Tampered Rum|Rum adulterado
Used Penguin|Pinguim usado
Water in Mug|Água na caneca
Wet Dinolicious Costume|Fantasia de Dinolicious Molhada
000e2891-c5c4-4a51-82bf-cb65a4d6c66d|Esta capa de hidromassagem parece um pouco fina.
0012c752-aa57-4bc9-91f1-e21b6e2b488c|Deitada enquanto alguém me persegue? Isso é desejo de morte... devo consultar um psiquiatra?
005689e2-a868-476d-9b5e-0d8f94cec792|Ninguém vai notar esse ato descarado de grosseria. Além disso, está escrito na minha testa que estou com sede.
0076af08-99b7-413e-bd5c-c18dfb7b1259|Não é o "seu" vibrador. O nome dele é Desejo da Ashley.
009cc91f-804f-4219-ad20-b53c9da3ab2b|50 dólares americanos!
00ab5ba0-b74a-44c7-a5ba-ad5ce03dbe2b|Após concluir este tutorial, você poderá clicar com o botão esquerdo (padrão) para interagir com qualquer item exibido em seu inventário. Interagir com um item permitirá que você o inspecione para obter mais informações ou dicas, use um item com outro e muito mais! Alguns itens podem ser retirados do seu inventário para serem guardados, outros podem ser comidos e alguns... bem, você verá. Lembre-se de que certas ações, como comer, beber, jogar, etc., podem fazer com que você perca um item permanentemente!
00ed22f9-8929-4334-9a39-052704626c60|Para garantir que a foto de um NPC "conte" como algo depravado que você esteja fazendo, certifique-se de que o NPC esteja a alguns braços de distância de você e que seu corpo esteja o mais centralizado possível.
00fd50c4-acb7-454a-838d-d2e0a51bd100|Eeeeeee...
0153ed31-60cb-43ed-b97b-c69c9773f624|Hmm... parece que alguém deixou um tablet embaixo da TV...
01617002-ead7-4b1b-b339-3992b8d9236f|Óleo de motor, mas sem carro? Não é para um motor de dois tempos nem de quatro tempos... Ok, vamos deixar isso claro: este é o lubrificante mais estranho e inútil que já vi.
01bbe632-922a-4e7d-835f-2980879962d7|Ah, marca genérica! Madison é uma compradora inteligente!
01fd9b35-ae50-4243-8579-8f3649e63125|Já está cheio de água...
02408991-458f-4e20-9c61-4bb8244df5ad|Um computador enfiado em uma mala... parece bem sofisticado. Espera, estou errado, ou aquele botão rosa tem o formato de um peito?
025011a7-9603-43bd-aea0-8980d3081d3f|Ufa, foi mais difícil do que pareceu. Por outro lado, me sinto um pouco mais forte...
0251f991-2d9b-4018-a01b-1c2491376c3e|Uma martelada aqui... uma martelada ali... esperemos que Madison não leve isso muito a mal... e pronto. Crise evitada!
02828f25-b168-4523-8e18-73df79c969bf|Agora você se sente um pouco mais forte.
03817f77-9f42-4fe9-bb16-7c25106dd3e8|Ei, as roupas estão prontas! Perfeito!
046dd515-1415-450a-88d6-28c0199338f0|Ugh, preciso de um minuto para recuperar o fôlego.
047395b2-50dc-40cd-9bf5-6ac7de775b05|A Lety já está chegando, preciso continuar...
04781cc7-21c0-42ea-b6b0-6fa1e874c27d|É uma revista estranha sobre cabeças de impressão 3D.
049103a2-792b-4548-9d59-2340cc5f995a|Bubbles, você está vindo! ...Eu quis dizer vindo. Não tenha ideias estranhas, ok? Para sentar na jacuzzi, você precisa estar com as roupas certas. Ou melhor, sem roupa nenhuma. Comece a se despir! Assim como camas e cadeiras, os PNJs precisam se mover antes que outro PNJ possa tomar o lugar deles. Dica: Se você quiser que alguém vá, talvez "entrar" na água seja uma boa ideia. Até mais!
04ea602f-c997-4c3c-8c50-3cbeaf368dd3|Um palco digno da ilustre Doja Cat.
051303ae-410a-490e-ac1f-45edbff736b7|Perfeito para alcançar pontos um pouco mais altos.
0536a726-6063-45d6-87c5-ebedc78e59de|Rachael é uma garota legal. Ouvi dizer que ela é amiga de algumas pessoas famosas, como Vickie Vixen.
056b9ed8-9afb-4e6a-9147-43791e3b2f59|É só um freezer. Calma.
05ebf0eb-0899-4695-bbec-599ce5d7345b|Parece que alguém o quebrou com um martelo... ah, é verdade.
05fe95c0-9944-4efa-bef2-2c72ae33de34|Este vídeo é surpreendentemente informativo. E adorável! Aparentemente, o nome da criadora é "Joyce".
06053d93-f3ae-441e-9ed3-534ee6abe494|Aqui, montei este quebra-cabeça para você. É sobre um lugar, uma passagem secreta. Eu me movo para lá, como um ninja secreto, silencioso e mortal, como meu próprio peido.
06a8f933-f98b-457a-98ff-ec14dd7cf548|É um objeto grande, em forma fálica. Olhando mais de perto, parece que caberia na boca. Ah, é um salame. Certo.
0745441e-5133-49b2-a7c6-6903577a0c7d|Acho que já estou dando tudo de mim para a Stephanie agora.
081db5de-cc28-41eb-b8a0-d5d0b0b4715a|É a Detetive Katz! Ela praticamente se convidou para a festa, como eu.
08b76b6e-fc19-4122-9a0c-3a008377de63|Estou muito perto! Como alguém pode... resistir... ao verdadeiro poder dessas bolas poderosas?!
09338f57-accc-4172-b3b0-aff57b6eb324|Este cadeado é para bicicleta, mas mantém o armário fechado. Minha mão dói só de olhar...
09a7c498-812f-435d-baee-6c19c1812370|s
0a3d95f3-8019-439b-aeaf-6d3b1a586af5|Estou conectado! Chega de anúncios intrusivos. Agora preciso encontrar um vídeo para o Derek.
0a462ec6-1d2c-4dc6-8a4b-47ca77f2421b|Por mais que eu queira interromper, preciso de uma ideia melhor do que ficar reclamando: "Não é justo! Não é justo!"
0a841f89-73a4-4666-9a6b-558acfaaf34d|É o Derek. Ele é o amigo que me convidou para a festa e o único que conheço aqui.
0a91c0b3-cf0e-4651-8477-b34b65b2effe|Ah, não, deixei a cabeça do Patrick no fogão tempo demais! Ele está prestes a explodir!
0ab555d7-2feb-455c-8596-d50c1146c804|A chaleira foi enchida com café.
0aca6cc0-0f6e-4795-908a-a1f9e678a684|Cheguei perto! Oh Patty!
0ae5d08b-0cde-4b6b-a42a-0f3bcbc65f2a|Talvez você devesse beber para encher a bexiga, ou esperar um pouco...
0b923581-d3a4-4175-a2e4-8673461c6b1f|Nada mal, Patrick... é... Compubro, nada mal. Você não só deu a ela aquele corpo de arrasar, mas também aquela falta de jeito vergonhosa!
0c73fa97-28b7-472a-b953-c14ecd567970|Pesa bastante... mas tenho que admitir, não é ruim como um suporte de caixa de som caseiro. Me sinto mais forte depois de movê-lo!
0caa79c9-f8ac-408e-886d-358c43efa4ee|O baú misterioso da Liz tem uma fechadura barata. Ela precisa ter a chave.
0d12520a-f8f6-4982-965f-5008987da5d8|Meu medidor de orgasmo (que vejo toda vez que me despojo) precisa recarregar primeiro. ... Nossa, estar com a Rachael realmente faz você ver as coisas de forma diferente.
0d27c702-c5ad-4c25-a945-43d154efdd52|É como um quebra-cabeça que precisa ser resolvido e, assim que encontrar a solução, você ficará inundado de satisfação. Então, dedique-se, você só terá sucesso se agir: descubra isso ou morra lutando.
0d379ecb-af71-4168-b3bc-7916f5dbe993|Este objeto é uma cadeira. Você sabe o que fazer com ela. Lembre-se de que apenas um personagem pode usar uma cadeira por vez. Portanto, se você tentar libertá-la, talvez precise encontrar uma maneira de afugentar a pessoa que a está usando. Com todo o respeito, é claro. É só por esta lição. Até a próxima!
0d828cbb-a157-43de-a5dd-739db5901f4d|Isso deve resolver...
0d85973b-d6b5-4ca8-bf5c-cacb6e5a48ef|Parece haver uma mala... ou... algum tipo de caixa reforçada com aço no gazebo. Está fora de alcance.
0d8b7a15-d01f-4cd5-b2b0-e797129785ac|Hmm... quem é? Ela parece um pouco tensa...
0dc0aaa3-7331-4abc-a877-a20cd073748e|Provavelmente eu deveria ligar a energia novamente primeiro, ou posso machucar o polegar.
0deaae3c-54b7-4c61-a506-98bc1689f718|A Lety está chegando, preciso continuar...
0e1e3868-1c99-44d8-bf97-f21834efd8af|Com este menu radial, você pode examinar a outra pessoa para saber mais sobre ela, dar a ela um item do seu inventário ou conversar com ela para tentar iniciar uma conversa... Não, um relacionamento! Hum... De vez em quando, dependendo do conteúdo que você estiver jogando, pode haver algumas interações especiais para descobrir!
0e26bf4f-f067-4753-9fc7-cbbf74fd29ba|Melhor não ser tão babaca agora para poder enfiar meu pau em algum lugar mais tarde.
0e37efe3-a81c-43d7-b0ed-5a82e79a0e8a|É... tão grande! Tão saudável! E tão verde! Este é o tipo de comida que realmente trata o meu corpo...
0e49362f-2696-4fc6-836c-55c51a71ab73|Quando os Rezingões fazem coisas Rezingões, é melhor deixá-los fazer. Afinal, é um videogame.
0e7bf9f6-3187-4f5e-8e5e-3066fe525346|Eu provavelmente deveria deixar a Brittney terminar de se trocar.
0ed3fcbb-8edc-4f5b-aa28-2137ffb45cc4|Ah, você precisa de ajuda para lembrar de uma coisa, né? Olha só, você é um velho esquecido! Para sua sorte, as janelas de memória e oportunidade estão aqui para ajudar! Você pode alternar entre elas pressionando as teclas "o" ou "m" ou usando as abas na parte superior da janela.
0efe7458-bc1c-4f12-aada-51585c20d2b3|TELEFONE BLOQUEADO. DIGITE A SENHA
0f4e91a5-b4b0-48c8-ac49-25e4f4f6178b|Você consertou a fantasia do Dinolicious.
0f8da1bd-eb4c-48e6-91ad-c691fbdb40be|Leah está concentrada em seu discurso. Não vou conseguir chamar a atenção dele com meu charme natural... Preciso de uma distração...
0fc9b391-316b-4e99-a19a-17a52be5d6a9|Ainda não! Tenho que esperar para atacar no momento certo... quando ele e seu ego estão mais vulneráveis!
0fcde25e-98fa-467c-ad5b-0ba13f462285|Aqui, montei este enigma para você. É sobre um lugar, uma passagem secreta. Eu me movo para lá, como um ninja secreto, silencioso e mortal, como meu próprio peido.
102814f8-4870-4ed7-b68f-abdf1e3ed28f|Parece que as roupas ainda estão secando. Devo voltar mais tarde...
105f4c2a-e61e-46cd-94bd-5560a2211e41|Hora de martelar! Isso deve ser o suficiente para destrancar a porta.
107556b9-8b5c-44e1-b328-1e13b53ebbde|Um MP3 player. Estou em uma casa ou em um museu?
10c1e357-563b-42dd-9e57-09c88571d1cb|Deixa eu só colocar essa coisa aqui...
1190e45c-fd9b-434a-9731-f0d2ec731b78|Ah, a antiga tradição de testar o reflexo de vômito. Que coisa maravilhosa. A propósito, quem for alimentado com o pepino tem que tirá-lo primeiro. Se for você quem estiver dando... bem, não há muito o que explicar. Espere pelo seu parceiro. Se for você quem estiver recebendo, apresse-se e tire-o, se ainda não o fez! Você... espera, você mereceu? Presumimos que você mereceu. Aproveite!
11cef411-d55e-4d31-a6b8-e5af414184dd|Bem, já que eu tenho, talvez eu devesse dar uma olhada...
11d4c50d-72e5-4286-ac2a-6ccaa44bc738|Não consigo falar com o Frank, ele está prestes a chutar a bunda de alguém... ou pelo menos tirar a bunda daqui. Não consigo falar com ele.
11da294f-383c-4ce8-86e9-e70990825547|Compubro faz barulhos de prazer mais altos.
11e62ee7-168d-402e-b7ac-18f263f55dab|Bela embalagem. O que será que tem dentro?
128e0405-97c4-40e3-b7ed-d5aed85c81d4|É um lápis. Um daqueles pequenos sem borracha.
1298b7f3-c87c-4c11-828a-ec43b94043af|Hmm. Quem diria que existia uma chave que trancava e destrancava todos os banheiros? Que conveniente!
12ea1a66-90f3-4be2-a623-addcb169e5f8|Não parece uma boa hora para dar algo a ele... talvez ele esteja mais disponível mais tarde.
1315e4af-1c36-4ae1-bf16-f4302ec3d34b|Parece que este é o termostato que controla a temperatura da casa inteira.
