[General]
Name|Liz Katz
26.1|Você trouxe um biquíni, né? Se eu te der a chave, você pode pegar o biquíni no porta-malas lá em cima? Vou sair para montar a jacuzzi.
27|Eca? Você é péssimo! Dez pontos a menos que a Grifinória!
28|Bem, não, eu não trouxe exatamente um martelo, mas eu tenho esse tentáculo...
29|Sou eu: Detetive Katz! Apresentadora extraordinária de mistérios de assassinato! E parece que houve... um assassinato!
30|Sério, eu não sei o que aconteceu. Então precisamos manter a calma. Não vamos perder a cabeça.
31|Escutem, pessoal, nossa melhor chance de sobreviver esta noite é se trabalharmos juntos para descobrir quem é o assassino. E acabar com esses assassinatos misteriosos e infelizes! Eu sempre quis dizer algo assim. Escute, o assassino pode ser um de nós. Pode ser eu. Pode ser você! E com minha experiência em organizar festas de mistério e assassinato, tenho mais experiência em lidar com essas coisas e posso liderar uma investigação. Mas vou precisar da sua ajuda.
32|Ei. Esta não é uma das minhas histórias. E eu nem sei quem é Patrick! Não conheço nenhum de vocês! Mas sei que posso ajudar a resolver este mistério. E também sei que o assassino vai se safar se não confiarmos uns nos outros. A confiança começa com a verdade.
33|Não, eu não vou aparecer com cabeças decapitadas falsas — especialmente de pessoas que nunca conheci antes.
34|Não! Do que você está falando?
35|Obrigado. É um alívio. Parece que alguém realmente foi morto, mas não tenho certeza se os outros estão levando isso a sério. Vou precisar da sua ajuda para descobrir o que aconteceu. O que você diz: parceiro?
35.1|Obrigado por confiar em mim... parceiro.
36|Bem, admito que toda essa ação e adrenalina estão deixando minha calcinha molhada, mas vamos nos concentrar em resolver o mistério primeiro... parceiro.
37|Eu sabia que podia contar com você. Entre nós, essa adrenalina é realmente sexy. Não consigo imaginar como será emocionante quando você e eu resolvermos esse mistério juntos. Nossa, estou ficando com a calcinha molhada só de pensar nisso.
38|É, toda essa adrenalina estava me excitando muito, mas passou no momento em que você disse aquela cantada estranha. Então, é melhor você não fazer isso de novo.
39|O assassino te atacou? Ótimo! ...Quer dizer, não, foi ruim. Mas esta pode ser a primeira pista para a identidade do assassino! Você viu alguma coisa?
40|Uma máscara? Oooooh, máscaras são sexy. Mmmmm...
41|Ah, hum... deixa pra lá. Essa é definitivamente uma pista importante. Pena que você não conseguiu ver o rosto dele. Nossas habilidades serão postas à prova. O assassino é claramente um sociopata altamente funcional. Um adversário à altura. E provavelmente meu inimigo!
42|Bem, com você ao meu lado, tudo é possível. Vamos ver se conseguimos encontrar mais pistas aqui na cena do crime.
43|Eu estava aqui curtindo a festa sozinho quando ouvi toda a comoção e gritaria e soube que algo estava acontecendo. Parece que eu estava certo e, de fato, agora temos provas de que alguém foi assassinado. O assassino deixou um aviso claro de que não podemos contatar a polícia. E então somos forçados a deduzir que o assassino deve estar dentro de casa agora ou está nos observando de alguma forma.
44|Exatamente. Excelente observação. Estou impressionado. Essa é uma pista útil. Talvez óbvia demais. E está congelada. Alguém sabe como descongelar uma cabeça congelada?
44.1|Como descongelamos uma cabeça congelada?
45|Não acho que seja uma boa ideia. Quer dizer, é definitivamente melhor do que uma panela holandesa. Mas imagino que isso possa render... resultados interessantes. Acho que você pode tentar.
46|No... fogão? Parece um pouco demais, mas pode funcionar. Só tome cuidado para não queimar. Precisamos dessa pista.
47|Colocar. Uma cabeça congelada. Em uma secadora? Isso... pode não ser uma má ideia. Quando a vida te dá uma cabeça decapitada... você a coloca na secadora e seleciona o ciclo suave. Eu vou com você. Vamos!
48|Me dá essa cabeça. Temos um mistério para resolver e uma cabeça congelada para colocar na secadora. Ciclo suave, é claro.
49|Finalmente. Sozinho com você! Assassinatos e mistérios, quebra-cabeças para resolver, fantasias para vestir... as coisas estão ficando pesadas e assustadoras, e eu preciso desabafar. E aparentemente podemos ter um minuto a sós...
50|Espere. Já deveríamos ter uma pista!
51|Ai! Hm, Houston, temos um problema. Estou preso. Socorro!
52|Depressa! Segure meus quadris e veja se consegue me tirar.
53|Estou preso? Preciso de ajuda. Estou com os braços dentro, mas não consigo mover a porta. Ela está presa. Precisamos encontrar um jeito de me tirar.
54|Como os X-Men.
55|Entendi! Peguei a dica! Olha.
56|Ei, tira a mão. Pare com isso! Não se atreva! Tente de novo e eu entro no modo Super Saiyajin-Mewtwo-Raphael e te ensino uma lição! Agora, por que você não se faz de útil e descobre como abrir esta porta? Ela está trancada!
57|Ei! Deixei o porta-malas de lado e estou pronto para curtir a festa. Só porque ninguém vai morrer hoje à noite não significa que não podemos nos divertir, certo?
58|Ok, ok. Você pode ser meu herói.
59|Só preciso de um minuto para deixar o porta-malas de lado e eu vou aí.
59.1|Por que você não encontra... qual era o nome dele? Patrick? Para que ele possa me ajudar a carregar minhas coisas lá em cima.
60|É, eu sei o que você quer dizer. Normalmente não me incomodaria... mas com um criminoso pervertido usando o sistema de ventilação da casa como fechadura? Sendo vigiado, cada passo que damos, cada movimento, cada declaração... esquece. Eu só quero encontrá-lo e lhe dar uma lição!
61|Segure uma câmera, diga "ação" e eu serei o amanhecer que iluminará sua vida!
62|Você aceitou minhas preocupações sobre ser vigiado e responde com uma piada de mau gosto? Você não está se ajudando em nada.
63|Excelente pergunta. Mas, assim como quando você vai à sua primeira Comic-Con, não sabemos nada sobre nada e precisamos explorar áreas e conversar com as pessoas. Eu começaria pelas cabines principais, onde sabemos que o assassino esteve, e partiria daí.
64|Conte-me tudo!
65|Bom trabalho, fiel ajudante! Vamos investigar!
66|Bem, então destranque! Mostre-me seus músculos em ação!
67|Com certeza! Mostre o caminho.
68|Olha! Tem marcas de mãos dentro dos dutos! Foi AQUI que o agressor escapou. O assassino usou os dutos. Ele provavelmente está nos observando.
69|Concordo, às vezes é preciso quebrar alguns ovos para pegar um serial killer. Não podemos deixá-lo escapar.
70|Ei! Como você ousa?!
71|Ótimo, ótimo, ótimo. E eu que achava que era a única que achava um bom mistério de assassinato mais sexy do que um Santuário do Caos de Diablo... olha só!
72|Meu Deus! Que piada ridícula. Que bom que você é tão adorável.
73|Meu Deus! Suas tentativas de flertar são constrangedoras, e eu definitivamente estou perdendo os sentimentos que estava tendo.
74|Não.
75|Hum, está tudo bem?
76|Como eu pareço, uma enfermeira? Quer dizer, eu não tenho problema com RPG, mas a coisa realmente emocionante seria resolver esse mistério.
77|Eu pareço uma enfermeira para você? Quer dizer, eu não sou contra RPG, mas a verdadeira emoção seria resolver esse mistério.
78|Droga, se você a tratou do jeito que me tratou, espero que ela não se sinta intimidada e diga o que você queria ouvir para que você a deixe em paz.
79|Ok, desculpas aceitas. Você acredita?
80|Essa é uma observação importante! Qualquer coisa que pareça fora do lugar neste momento, não importa o quão pequeno seja o detalhe, pode ser uma pista importante.
81|Deveríamos continuar investigando para ver se conseguimos deduzir quais erros estão afetando o sistema de aquecimento e ar condicionado desta casa. Enfim, é, está muito quente aqui. Estou suando debaixo dos meus seios... opa, falei demais.
82|Nossa, ok. Não foi isso que eu pensei. Talvez você devesse me convidar para sair ou resolver um mistério de assassinato primeiro. Mas usar algo mais leve parece uma ideia melhor. E eu tenho exatamente o que preciso... Vou me trocar. Você pode me encontrar quando eu terminar para que possamos entender melhor a situação.
83|Não era exatamente isso que eu estava pensando. Ainda não. Me ajudar a resolver esse mistério de assassinato primeiro.
84|Hmm, vestir algo mais leve parece uma boa ideia. E eu tenho exatamente o que preciso...
85|Ei, você deveria tirar algumas camadas de roupa também. Que tal nos trocarmos juntos?
86|Mas vestir algo mais leve parece uma ideia melhor. E eu tenho exatamente o que preciso. Vou me trocar. Você pode me encontrar quando eu terminar para que possamos entender melhor a situação.
87|Certo. Vamos transar. Eu quis dizer, vamos nos concentrar! Vamos nos concentrar. Afinal... um assassino está à solta. Deveríamos triunfar sobre a mediocridade, deixando de lado nossos sentimentos aparentes em favor da lógica fria e implacável para solucionar esse crime enigmático. E depois? Vou te sondar minuciosamente, muitas vezes e em muitas posições. Bem, é hora de voltar ao trabalho, parceiro.
88|Conte-me tudo!
89|Essa é uma pista crucial! Esta pode ser a nossa melhor aposta! Talvez devêssemos avisar Madison e Ashley antes de contarmos mais alguma coisa. De qualquer forma, te espero lá.
90|Veja... você e eu estamos começando a entrar na mesma sintonia agora. Mais ou menos. Agradeço o esforço. É legal.
91|Mas sim, após uma análise cuidadosa das evidências em nossa posse, cheguei à conclusão elementar de que alguém enfiou desajeitadamente uma faca no ar-condicionado para impedir que as pás se movessem e bloqueassem o fluxo de ar. Portanto, está tão quente lá dentro que nem dá para transar. O que eu não entendo é por quê... Acho que você deveria conseguir remover a faca, no entanto.
92|Aquilo foi Shakespeare, Sherlock ou apenas um insulto? Agradeço o esforço, no entanto.
93|Parece preso. Você acha que precisa de um tapinha de amor para desentupi-lo?
94|É um truque. Definitivamente parece sangue falso.
95|Escute, quando você lida com sangue falso regularmente, lutando com ele, usando-o para decorar, espalhando-o por todo o corpo... fica fácil de reconhecer. Na verdade, tenho quase certeza de que é a mesma mistura que tenho no meu porta-malas. Dá para perceber pela viscosidade, pelo tamanho e pela consistência dos pedaços.
95| 96|Eu estava esperando você perguntar, obrigado. Bem, é elementar... Alguém está tentando fazer parecer que um corpo foi enfiado dentro da unidade externa do ar-condicionado. Mas suspeito que seja uma pista falsa. Alguém, ou algo assim, está usando os dutos de ar. Essa é a nossa próxima pista. E parece que temos outra pista. Pode ficar com ela.
97|Obrigado, parceiro. Veja bem, para cada ato assassino, para cada morte inexplicável, há uma veritas-aequitas, que é "Karma é uma vadia e seu nome é Liz Katz".
98|Certo. Bem, sabemos que o culpado está nos dutos. Precisamos encontrar um jeito de tirá-lo de lá.
99|Essa é uma boa pergunta! Provavelmente não deveríamos deixá-lo por aí; cheira muito mal. Deveríamos enterrá-lo? Queimá-lo? Prendê-lo em algo como uma lança para que nossos inimigos tenham medo de nós? Sinto falta do Ned Stark.
100|Tudo o que tenho é o pedido de mistério de assassinato, que foi preenchido usando uma conta do Instagram, e recebi o convite dessa conta. Não tenho ideia de quem seja além do nome da conta, que é, rufem os tambores, @James_Sborr. Que nome estranho. Já tentei olhar o perfil, mas é privado. A menos que você conheça um bom hacker, não sei o quanto mais podemos descobrir sobre essa pessoa.
101|Adoro seu otimismo. Me avise se descobrir mais sobre esse convite.
102|Ah, me diga, estou começando a ficar animado só de pensar nisso.
103|Quer dizer, Patrick, o morto?
104|O que você disse, Scooby? Ah, é, estou tão animado!
105|O quê? Não. Que pena. Acabamos de resolver mais uma pista e estamos mais perto de resolver o mistério. Nada me deixa mais animado. Só preciso resolver, só isso!
105| 106|Acabamos de resolver mais uma pista e estamos um passo mais perto de resolver o mistério. Nada me deixa mais excitado. Só preciso resolver, só isso!
107|Ok, foi uma viagem e tanto. Estou um pouco tonta, me sentindo tonta e também um pouco excitada.
108|Não é demais? Este traje é incrível. E é tão apertado. Onde estamos?
109|Graças ao criador disto, eu não tenho os seios triangulares da Lara Croft. E, olha só, tem uma cama também. Porque é claro que tinha que ter uma cama.
110|Hum, é, estamos aqui para encontrar pistas, não para fazer um remake pornô de Tron.
111|Sério? Vamos examinar a cena primeiro, parceiro, e depois ver até onde conseguimos ir com os limites da realidade virtual.
112| 112|Parece uma boa ideia, mas vamos ver o que podemos encontrar aqui.
113|Olha só, você é um babaca. Às vezes você pode ser um verdadeiro pé no saco.
114|Você tem razão, não há motivo para ser rude.
115|Nossa... tá, Darth Apathy.
116|Isso foi muito legal da sua parte. Concordo!
117|Do que se trata tudo isso?
118|Isso é realmente nojento.
119|Não, não, não, não. Isso é demais, vou embora.
120|Você tem a paciência de um santo. A reencarnação de Andy Dufresne.
121|Não estamos progredindo.
121| 122|Será que isso tem alguma relação com o caso...
123|Ok, eu diria que sim. Mas não é suficiente por si só. Mas quando se trata de cenas de crime, coincidência não é um indicador de sorte ou simples destino. É causalidade. É a justiça falando.
124|Eu sei, está quente aqui, ou estamos apenas derrotando o crime?! Meu coração está disparado!
125|Para fazer o quê?
126|Café e donuts para mim, estamos prestes a desvendar este caso, parceiro!
127|Só um monte de frustrações reprimidas e uma cama para descontá-las. O que me diz? Tenho um conjunto completo de processos de teste de cama em mente.
128|Ok, você tem razão. Precisamos nos concentrar. Eu admito. Precisamos resolver este assassinato, mas aí você vai ter que me ajudar a liberar essa energia reprimida que tenho. Entende o que quero dizer?
129|Boa pergunta. Vamos recapitular o que sabemos.
130|Exatamente. Então podemos presumir que o assassino deixou pistas porque quer que saibamos seu motivo. Deve haver algo que ele quer que saibamos.
131|Talvez. Ou... é só o que querem que pensemos. Na ausência de outros restos mortais, deduzo que a chuva de sangue foi criada usando a bolsa de sangue que desapareceu do meu porta-malas durante o apagão.
132|Bom raciocínio. Mas ele escapou ou ainda está aqui, observando cada movimento nosso? O assassino deixou uma mensagem dizendo que não podemos contatar a polícia. Portanto, devemos presumir que ele ainda está em casa ou tem um mecanismo para nos espionar.
133|Não necessariamente, parceiro: o assassino pode ter usado a conta de Patrick para nos distrair. E pode não ser um disfarce. Outra explicação lógica poderia ser que o assassinato não foi real, mas o suposto assassino simplesmente queria ter acesso ao conteúdo do meu porta-malas para simular a morte de Patrick. Mas por quê?
134|Exatamente, parceiro. No entanto, considerando que Patrick gravou sua própria mensagem, acho que Patrick pode estar fingindo sua morte. 
135|Além disso, a inclusão de um segundo bilhete só reforça minha teoria de que o assassino quer ser encontrado, ou pelo menos quer que saibamos sua motivação.
136|Definitivamente temos respostas, mas isso só nos leva a mais perguntas que precisamos responder antes de podermos forçar o suposto assassino a sair das saídas de ar.
137|Você nem deveria me perguntar isso. A maior pista em potencial é a cabeça de Patrick, que parecia ter um bilhete congelado na boca. Provavelmente deveríamos descobrir como descongelar essa cabeça e pegar o bilhete.
138|Achei que fosse só eu e a emoção da noite, mas acho que o calor aumentou aqui desde o apagão. Primeira lição na investigação de mistérios de assassinato: nada deve ser considerado coincidência na cena do crime, a menos que você tenha sido subornado. E eu certamente não recebi nenhum favor, infelizmente. Então, a menos que você tenha recebido, vamos ver se conseguimos adicionar a solução da crise climática da casa à nossa lista de tarefas.
139| 139|Ainda não temos uma boa ideia de como a pessoa que te atacou durante o apagão escapou. É fundamental que entendamos os movimentos do culpado. Em outras palavras, o assassino teve iniciativa 20, mas agora precisamos entender suas restrições de movimento.
140|Ainda não sabemos quem me convidou. Isso não é um detalhe pequeno, parceiro!
141|Mesmo que saibamos como o culpado se move e que ele queira que saibamos algo, o mistério permanece. Precisamos de um motivo. Podemos presumir razoavelmente que Patrick está envolvido. Deve haver algo pertencente a Patrick que possamos examinar para descobrir segredos. Nosso objetivo agora é encontrar o motivo, parceiro.
142|Talvez você esteja certo, talvez você esteja certo. Ainda bem que eu faço exercícios de Kegel — a tensão é quase insuportável.
143|Certo, falha crítica em todo o seu raciocínio. Não havia um bilhete naquela cabeça congelada? E então nós a descongelamos e a pegamos? Isso provavelmente significa que o assassino está tentando nos dizer algo, certo? Isso significa alguma coisa para você? Ok, erro de novato. Vamos continuar.
144|Ooh, sim, fale sacanagem comigo.
145|Mmmm, eu adoro quando você me enche com suas soluções. Continue. Eu quis dizer... continue.
146|Oh. Oh, eu esperei por isso a noite toda. Minhas pernas estão tremendo. Eu preciso de você. Me ajude a resolver esse mistério. Por favor, querida.
147|Oh meu Deus. Continue me alimentando com seu raciocínio. Eu sinto o quão difícil você está resolvendo. Eu sinto isso dentro de mim. Na minha cabeça, com seus fatos concretos. Tenho certeza de que chegaremos à solução. Oh meu Deus, não pare agora. Estamos quase lá.
148|Oh, você é o Manny para o meu Meche que eu nunca soube que precisava. Como isso pôde acontecer conosco, querida? Uma noite louca como esta. Nunca imaginei invadir uma festa... conhecer alguém como você... e me sentir tão vivo. Não sei como isso vai acabar, não posso ficar aqui para sempre. Nem sei se estaremos vivos quando o sol nascer. Mas se tem uma coisa que aprendi esta noite em meio a todo esse álcool, loucura e caos sangrento... se tem uma coisa que eu sei... é que se resolvermos isso e sairmos vivos... vamos nos foder até perder os sentidos!
149|Essa conclusão ridícula não faz o menor sentido, nem leva em conta nenhuma das evidências que temos. Só de ouvir isso me deixou mais burro. Tem mais alguma coisa a acrescentar?
150|O quê?
151|O quê?!
152|Argh, você está quebrado. Alguém tem um martelo? Eu conserto! A menos que você tenha mais alguma coisa a dizer...
153|Certo, Larry, o Brincalhão. Há alguma verdade no que você disse, mas isso não explica nada sobre o assassinato. Por favor, me diga que você tem outra coisa.
154|O quê?
155|Sim, é muito sexy. O sentimento é mútuo, tigre, mas o que eu quis dizer foi: continue juntando as peças da verdade sobre o que aconteceu.
156|Isso é fofo e um pouco sexy, mas o que eu quis dizer foi: continue juntando as peças da verdade sobre o que aconteceu.
157|Ah, é. Mas o que eu quis dizer foi: continue juntando as peças da verdade sobre o que aconteceu, e talvez a gente esteja, e talvez a gente esteja na mesma página.
158|Não estrague o clima. Continue no seu papel de detetive sexy.
159|Ufa, tá bom. Nossa. Desculpe, as coisas estavam ficando intensas. Mas essa é provavelmente a informação mais importante que temos para pegar aquele filho da puta... ou aquela vagabunda, simplesmente.
160|Essa é provavelmente a informação mais importante que temos para pegar aquele filho da puta... ou aquela vagabunda, simplesmente.
161|Ah, é, é! Não aguento mais. Temos que chegar ao fundo dessa história, desvendar esse mistério, chegar ao cerne da questão... quer dizer... ao cerne da questão! ...Tá bom, nossa. Desculpe, eu estava ficando um pouco animado demais! Mas essa é provavelmente a informação mais importante que temos para pegar esse babaca sorrateiro!
162|Você costumava bater a cabeça muito no jardim de infância, né?
163|Não, mas você está completamente no caminho errado.
163.1|Você está completamente no caminho errado, tigre. Vamos nos concentrar nas pistas de verdade, por favor.
164|Hmm, essa geralmente é a parte do filme em que os tambores começam a tocar, as pessoas pegam suprimentos, desenrolam plantas na mesa, apontam para coisas no mapa, dormem em suas mesas e, milagrosamente, terminam todo o trabalho de qualquer maneira, todos cumprimentam uns aos outros e os personagens mais sensuais se beijam para dar sorte antes da cena final começar. Tudo em menos de 60 segundos!
165|Claro, mas isso é a vida real. Ou inventamos alguma coisa, ou vamos nos meter em encrenca. Boa sorte, parceiro!
166|Claro, vem cá.
167|Que tal bolarmos um plano primeiro? Depois, podemos partir para as coisas mais picantes.
168|Bem, poderíamos tentar entrar nas aberturas escuras e claustrofóbicas. Soltar o assassino com um lança-chamas sem o elemento surpresa. Tudo contra um predador furioso que já sabe navegar pelas aberturas melhor do que nós. E tudo isso enquanto torcemos para que não morramos sufocados pela fumaça.
169|Ou podemos começar uma fogueira. Cedo ou tarde, as aberturas vão se encher de fumaça, e ele terá que sair antes que a casa vire cinzas — tomara que sem a gente ainda lá dentro.
170|Talvez pudéssemos ver se alguém tem algo que possamos todos tragar e deixar a fumaça passar pelas aberturas até o assassino sair... e aí ele provavelmente vai nos matar enquanto estivermos rindo. Hmm.
171|Ou também poderíamos encontrar os componentes do feitiço para invocar um portal dimensional do sistema de ventilação para o forno, e então queimar algo no forno para encher as chaminés com fumaça. Mas há uma pequena complicação nisso.
172|É, eu não sou um mago de nível nove.
173|Ok, vou continuar pensando. Talvez pudéssemos inventar algum tipo de arma de energia que dispare discos multidimensionais que possam conectar diferentes locais no espaço e no tempo sem distorcer a gravidade, e então encontrar um vulcão fumegante...
174|Uau, você fez um ótimo trabalho.
175|Bem, há várias grades de ventilação na casa, tipo uma por cômodo. Coloque esse cérebro lindo para funcionar e veja se consegue descobrir como concentrar melhor a fumaça. Parece que aquela saída de ar na garagem é a única grande o suficiente para entrar e sair do sistema. Vou ficar de olho naquele cômodo enquanto você trabalha nele. Te aviso se eu ouvir ou ver alguma coisa.
176|Esta não é a noite que eu esperava, mas, apesar de todas as coisas terríveis que aconteceram, não há lugar onde eu prefira resolver mistérios do que com você. Boa sorte.
177|Como vão as coisas, parceiro?
178|Bem. Ótimo. Tudo está indo como planejado.
179|Ha ha, não. Mas é uma boa piada, considerando que estamos prestes a dar uma lição neste assassino.
180|Que fantasia sexy. Obrigada pela dica. Mas vamos voltar a resolver assassinatos e mistérios.
181|Ok, não me importo com a sua ideia de interpretação, mas talvez outra hora. Por enquanto, vamos voltar a resolver assassinatos e mistérios, ok?
182|Nossa, desculpe, mas acho que vou passar. Não é hora para isso, vamos voltar a resolver assassinatos e mistérios.
183|Não se preocupe, posso não ser um anjo perfeito, mas também não sou um demônio. Mas sua piada foi boa, considerando que estamos prestes a dar uma lição neste assassino.
184|Cuidado, estamos combatendo o crime, mas não fique na defensiva comigo. Talvez eu só tenha olhos para atos impuros. Mas vamos voltar a resolver assassinatos e mistérios.
185|Nossa, sinceramente, ela parece estar no meio de um beijo da Perugina. Vamos esquecer isso e voltar a resolver assassinatos e mistérios.
186|Nossa. Bem quando eu achava que você tinha um pingo de humanidade. Vamos recomeçar. Estou te dando uma última chance de cair nas minhas graças... "parceiro". Que tal voltarmos a resolver assassinatos e mistérios?
187|Ouço batidas e tosses nos dutos de ventilação. O que quer que você esteja fazendo está funcionando.
188|Mas antes de enchermos os dutos de ventilação com fumaça, eu estava pensando que precisamos considerar como lidar com a situação quando ele entrar na garagem.
189|Não estamos brincando de Super Smash Hammer Master... Quero capturá-lo e expô-lo. E vamos precisar de reforços. Sugiro que recrutemos pelo menos um dos guardas estraga-prazeres que guardam a bebida. Coloque-os do nosso lado e será tão fácil quanto atirar em patos com um zapper na tela.
190|Patrick é primo de Madison e Ashley. Elas devem estar aqui para o desmascaramento, caso saibam quem ele é.
191|Pode apostar. Estamos tão perto que consigo senti-lo. Sério. Entre as minhas pernas. Estamos chegando perto de uma revelação crucial. Estarei ao seu lado até o final desta história.
192|O show acabou! Você está preso.
193|Frank, não, você não é policial. E precisamos interrogá-lo.
194|Certo! Espero que tenham feito suas apostas... é hora da revelação! Quem é o culpado misterioso?
195|É claramente o Patrick. Não poderia ser outra pessoa.
196|Obrigado, parceiro.
197|A suposta cabeça decepada do Patrick foi encontrada no freezer poucos minutos depois de seu desaparecimento. Cedo demais para uma cabeça humana cair a -18 graus, a menos que aquela geladeira seja modificada com um módulo de carbonita líquida. É falsa.
198|Além disso, ligamos o ar-condicionado e fomos surpreendidos por uma chuva de sangue.
199|Como eu disse, aquele sangue tinha um cheiro distinto de sangue falso. E como eu sei, você pergunta? Porque eu tenho sangue falso no meu porta-malas. Ou talvez eu devesse dizer que tinha. Todas as minhas bolsas de sangue falsas sumiram, provavelmente usadas por Patrick para simular o trágico descarte do corpo pelas lâminas do ar-condicionado externo.
200|Quanto ao meu conhecimento de que o suposto assassino usava sistemas de ventilação, essa era a única explicação possível para a fuga de Patrick após o ataque na garagem.
201|E uma das pistas mais cruciais foi a descoberta de que o próprio Patrick me convidou secretamente para a festa, usando uma conta falsa que ele usava para se masturbar... presumivelmente para roubar itens do meu porta-malas e usar meu programa como distração.
202|Parceiro, você quer responder isso?
203|Hum, sim. Nós... espera, o que fizemos?
204|Ah, sim. Isso. Sim, nós fizemos...
205|Hã? Ah, sim. Desculpe. Estou um pouco distraído. É que... nossa. Que noite. Preciso liberar um pouco de tensão. Tipo agora. E bastante.
206|Bem, resolvemos o mistério! Que experiência. Que descarga de adrenalina, que tensão reprimida. Talvez você tenha o que é preciso para ser um detetive. E não faria mal continuar trabalhando com alguém ao meu lado, mas não tenho certeza se agora é o momento certo. Acho que perdemos algumas boas oportunidades juntos. Mas isso faz parte do trabalho, jovem Padawan. Talvez nossos caminhos se cruzem novamente por causa de um corpo, e tentaremos novamente.
207|Você se importaria de me acompanhar até a porta?
208|Obrigada novamente por toda a ajuda. Parece que a festa está voltando ao normal, mas eu, hum, realmente tenho alguns assuntos pessoais para resolver. Preciso, hum, "examinar" esta máscara de perto, na minha cama, talvez com um tentáculo e um travesseiro macio.
