[General]
Name|Compubrah
16|O próximo empreendimento de Patrick envolveu ajudar as almas menos afortunadas do mundo: profissionais do sexo, claro! Hooked on Brahnics é um curso de seis meses que ajuda prostitutas do mundo a aprender a ler melhor. Do beco à lista do reitor em apenas SEIS MESES, ou seu dinheiro de volta.
17|O mais recente empreendimento comercial de Patrick tem sido o mais emocionante. Na esperança de criar o melhor juice para vape, Patrick viajou para Papua Nova Guiné para extrair o néctar da flor mais rara do mundo, o Bortaan Bossum. Mas a selva onde encontraram a flor estava prestes a ser completamente dizimada por uma madeireira. Teriam eles matado todos os espécimes conhecidos da flor, um grupo de morcegos-orelhudos e alguns... cuscuz preto? Então, o que Patrick faz? Ele compra a selva, e a vila está localizada dentro dela. Eu compro o filho da puta! Agora esses moradores são funcionários orgulhosos da DeforestVapetion, uma subsidiária da Penehauser Industries. Eles extraem o néctar da flor e produzem o MELHOR juice de vape do mundo. Patrick até ganhou o Prêmio Eco-Love por salvar a flor, aqueles morcegos idiotas e... aquela outra coisa. Ele é um herói do caralho!
18|...Com licença, você é o computador ou eu? Não vou te dizer como fazer um bom trabalho te fazendo dormir esta noite, então não me diga qual palavrão é delicioso e qual não é. Vai se foder um minuto, cara!... Ugh, eu realmente preciso de um som de "atualização" melhor. Droga, pai.
19|Uh, mano, acho que acabou. Estou tentando hackear os servidores via TheySeeYouPee / WhileIPee na porta 69, e meu interpênis não está sentindo nada. Ele sumiu. Ai, minha luta. Nunca vou esquecer os momentos que tive com ele e seus incontáveis servidores blade. Imagine dezenas de jovens Wesley Snipes te escaneando um bilhão de vezes por segundo.
20|Cara, isso não pode ser feito. Uma atualização da sede disse que grandes mudanças estão acontecendo no site e que todas as solicitações de mudança de site devem ser encaminhadas para a nova executiva responsável, Rachael ou algo assim.
21|Você sabia que existem mais de 300 bilhões de pássaros no mundo? Isso é tipo 50 pássaros por pessoa. Que loucura. Você não está preocupado com isso, porra? Alguns deles também são muito espertos e fazem joguinhos mentais! Minhas imagens de satélite mostram que NINGUÉM foi ao restaurante do Chubbie antes de vir para cá, mas tem uma sacola do Chubbie perto da esquina da casa. Longe de qualquer lata de lixo. Aposto que era um pássaro, mas QUE PORRA ELE ESTÁ NOS DIZENDO? 
22|Cara, entende isso: tem um pássaro em Galápagos chamado tentilhão-vampiro que literalmente bebe o sangue de outros pássaros, como o atobá-de-pés-azuis. Nem vou fazer piada de teta, essa merda é assustadora pra caralho. Mais assustador do que aquela foto maluca de pássaro que a Madison acabou de enviar por e-mail — não que eu consiga monitorar isso. Mas ela provavelmente conseguiu. Enfim, você vai ter que descobrir a situação do seu pássaro antes que ele fuja de você.
23|Na Austrália, tem um pássaro que caça sua presa mergulhando nela. Sério: encontre um buraco onde uma pequena criatura possa viver e jogue pó de cocô no buraco para assustar o animal e depois o destrua. Peidando, cara. Ainda não está com medo? CARACA, meu satélite está me dizendo que tem um buraco igual ao da banheira de hidromassagem! Esse é o ponto do filme de terror em que você corre!
24|Não, não vou te dar mais nenhum fato, nem agora nem nunca, porque estou com palpitações aqui, pensando na nossa morte inevitável nas mãos desses pássaros. Sei que sou só uma IA com um pau grande, mas também tenho medos. Também sou a coisa mais inteligente do planeta, então acredite em mim quando digo que você deveria estar com mais medo agora, cara! Preciso relaxar. Vou assistir um pornô. Só fecha a minha maleta rapidinho, que aqui dentro vai ficar estranho.
25|Quer que eu cante? Uh, tá... Daisy, Daisy, me dá a sua resposta de verdade... Ha-haaa! Tipo aquele filme com o robô da luz vermelha. Porra de Easter eggs, mano, eu adoro! Mas não, eu sou mais um cara do Avenged Sevenfold.
25.1|Quer que eu cante? Uh, tá... Sou um MP3 player, pequeno e forte! Patrick me jogou para o alto quando viu a galera de hoje à noite. Onde eu poderia estar, quem sabe? Mas ele só toca uma música, então essa festa é péssima...
26|Quer saber uma coisa sobre seus amigos? Tá certinho, tá certinho. A perseguição tá certinha. Sobre quem você quer saber, mano?
27|A Amy tá legal, acho que ela é a mais nova aqui. Não me entenda mal, mano, ela é legal. O Patrick fez uma verificação de antecedentes e tudo. Ela tá tentando entrar para uma irmandade. Banger Wanger Delta, ou algo assim. A notícia é que ela tem que fazer uma caça ao tesouro para entrar, no entanto.
28|Ashley é prima do Patrick; ela também mora aqui. Ha, você não vai acreditar. Usei imagens de satélite para dar uma olhada no quarto dela. Ela tem um equipamento pesado lá em cima, se é que você me entende. Especificamente, um bastão roxo para aquelas noites solitárias, ha-haaa! Dê uma olhada e encontre aquela coisa safada. O papai Pat não me equipou com sensores olfativos, então... me ajude a viver indiretamente.
29|Brittney, a Bela Sulista! Eu gosto dela, cara. Ela é bem quietinha, reservada e tudo, mas deixa eu te contar, ela tem um lado selvagem. Só faça ela se sentir mais segura, e depois disso, ela é a alma da festa.
30|Ah, o quê? Você está tentando me fazer contar meus segredos mais íntimos? Que se dane esse cara, você vai ter que verificar meu histórico de internet. Uma dica: se você pesquisar a palavra "Assplay", vai se deliciar. Ou, eu acho... você poderia pegar a chave mestra do Patrick e ver do que eu sou realmente capaz. Dica: é tudo sobre a maldade.
31|Derek é a cola que mantém todo esse grupo de psicopatas sob o mesmo teto. Meio irônico, se você me perguntar, já que a vida doméstica do Derek não poderia ser mais complicada. É, o irmão dele tem um probleminha com drogas; o problema é que ele foi pego usando. Eu não deveria falar muito mais sobre isso, mas é claro que pesquisei a ficha criminal do irmão dele, e digamos que um estacionamento da Chica-Fil-A não é o melhor lugar para fumar metanfetamina. Espera... ele não é SEU amigo? Por que estou te contando tudo isso?
32|Frankie, o babaca. Ele já tocou no meu pai, Patrick, algumas vezes, então não sou muito fã. Mas acho que ele está com a cabeça toda confusa e isso o deixou com raiva por dentro. É como quando um jogador de futebol americano leva uma pancada a mais e duas semanas depois está desenhando teorias da conspiração na parede com a própria merda. MAS, não há nada que o Frank não faria para ver um belo par de peitos. Então, nesse sentido, somos farinha do mesmo saco.
33|A Katherine é legal, eu acho. Ela é uma chata com todo mundo, e mesmo eu sendo uma inteligência artificial muito inteligente, capaz de completar equações variáveis ENQUANTO enrolo um bong de cerveja, ela ainda acha que é a mais esperta da festa. Ela consegue hackear coisas e consertar praticamente qualquer coisa quebrada, mas tem estômago fraco. E isso significa que eu ganho porque nem estômago eu tenho. É, eu sei que ela tem mãos e eu não. Mas sabe de uma coisa, mãos que se fodam.
34|É, a Leah é foda, cara. Quer dizer, da melhor maneira possível, porque eu tenho muito medo dela. Ela está tentando abrir um negócio, uma cafeteria incrível, não tenho certeza. Ela provavelmente vai querer que eu investigue. Eu faria isso se fosse você. Aquela garota é selvagem. Não conte a ela que eu disse isso.
35|Lety, Lety, Lety... É, desculpe, ela deve ter chegado porque eu não sei nada sobre ela. Tenta falar com ela. Geralmente funciona. Vai por mim, eu pego cybercake o tempo todo.
36|Rainha da noite! Ou pelo menos é o que ela gostaria de pensar. Essa é a festa da Madison, cara. Você segue as regras dela. O que é péssimo para você, porque ela tem uns pensamentos estranhos rondando a cabeça dela. Pergunte a ela sobre a espiritualidade dela, ou sobre os... hobbies artísticos dela. Você vai ficar com a cabeça cheia de merda.
37|Papai Pat! Eu amo aquele garoto, cara. Ele é meu criador. Estou me esforçando para ser como ele um dia. Acho que consigo; basicamente, tenho 4 bilhões de anos para dominar o estilo de vida dele. Se você quer conquistar o coração do meu pai, o álcool é a sua melhor aposta. Ele adora álcool. E garotas. E sufocamento, mas só nas circunstâncias certas.
38|Rachael é um caso especial: na verdade, Patrick me fez pesquisar bastante sobre ela. Ela está metida nos negócios de Patrick, e isso a deixa louca. Minhas fontes dizem que ela é uma grande ambientalista, re-he-heal. O que é meio engraçado... porque ela parece acreditar que existe outro mundo além deste, ou algo assim? Enfim, além de suas tentativas de acabar com a obscenidade corporativa, ela é boa amiga de Vickie Vixen, a superestrela pornô. Elas se conheceram em um protesto pelo empoderamento feminino. Ela é provavelmente uma das poucas pessoas no mundo a quem Vickie responderia por mensagem.
39|Stephanie é muito legal! Ela tem uma família rica, então a vida não é necessariamente difícil para ela. Mas é legal, ela preenche seu tempo usando o máximo de drogas possível. Pesquisas mostram que seu pai eventualmente a fez conseguir um emprego em algum bar para que ela pelo menos soubesse como era a vida profissional. Assim como o papai Patrick, Steph bebe um pouco. Ela parece ter alguma inteligência sobre algumas coisas que podem te ajudar hoje à noite, então eu não daria álcool a ela se você a estivesse colocando numa sequência de vitórias, se é que você me entende.
40|A Vickie Vixen está nessa festa? Como você fez isso, cara? Me ensina seus métodos! Cara, posso te garantir que sempre que estou dormindo... sonho com a Vickie Vixen. E meus sonhos são praticamente em realidade virtual, então você pode imaginar como é legal lá dentro. Ei, tem um boato de que a Vickie pode ajudar qualquer cara a durar mais tempo na cama... ou te dizer o quanto você ainda precisa melhorar. Talvez ela possa te ensinar os métodos dela, cara!
41|Quer saber sobre você? Isso é uma merda de meta, cara! Bem, estou surpreso em dizer que mesmo minha pesquisa completa sobre você não resultou em nada. É como se você fosse uma espécie de... tela em branco. Momentos em que qualquer um pode, devem ser tratados como se pudessem criar uma experiência — como uma festa, o mais pessoal e revigorante possível. Você é um politicamente correto, garoto... Muito legal.
42|O que posso dizer? Até os satélites que tenho em você agora dizem que você é uma pessoa desconhecida. Espera, espera, espera... tem alguma coisa, parece um perfil antigo de rede social. Não tem muita coisa aqui, exceto em filmes favoritos... HA! Suas atividades favoritas são "sair" e "apreciar as pequenas coisas?" De jeito nenhum! Você não é mais politicamente correto, garoto, você é um NPC. Um babaca notoriamente pomposo.
43|Ei, quem quer que esteja mexendo com a internet, quero falar com você! Vamos lá, estou no terraço do mirante, vamos fazer um acordo para fazer essa internet maravilhosa funcionar de novo.
43.1|Ei, quem quer que esteja mexendo com a internet, quero falar com você! Eu estava baixando umas coisas importantes aqui. Você tem que assistir a série Backdoor Sluts em ordem cronológica, ou a narrativa geral simplesmente não fará sentido. Vem falar comigo, seu sinal de merda!
44|Ah! Ei, quem fica mexendo com a minha internet? Não consigo conectar em nada, cara! Tô numa guerra de lances a três por um rim humano aqui! Para de mexer com a minha merda!
44.1|Ai! Ei, quem fica mexendo com a minha internet? Não consigo conectar em nada, cara! Tô numa guerra de lances a três por um rim humano aqui! Para de mexer com a minha merda!
45|Tá, tá, tá, se não é o babaca que estava chorando, babaca. Tentando tirar a minha internet, né? Eu estava em um sono profundo, e agora todos esses sinos e apitos estão tocando para VOCÊ!
46|Não faça perguntas idiotas. Mano, você tem que desligar essa coisa e me abrir. Tô tendo um ataque de pânico aqui e preciso de ar. Bom, eu não preciso de ar, mas sem a internet, eu fico literalmente no escuro e isso tá me deixando louco. Então abre a minha bunda.
47|Isso pode te surpreender, mas eu sou propriedade de um tal de Patrick Donghauser. Papai Patrick tem a chave, mas se ele estiver ocupado se colocando em coma, você terá que encontrar alguém que possa fazer o serviço. Alguém grande e forte que possa abrir minha bunda, haha! Rápido, cara!
47.1|Isso pode te surpreender, mas eu sou propriedade de um tal de Patrick Donghauser. Papai Patrick tem uma chave, mas... se ele estiver ocupado se colocando em coma alcoólico, você terá que encontrar outra pessoa que possa fazer o serviço. Alguém grande e forte que possa abrir minha bunda! Rápido, cara!
48|Me abra primeiro, e depois eu te mostro todas as minhas partes brilhantes.
48.1|Me abra primeiro, e depois eu te mostro todas as minhas partes brilhantes.
49|Uau! Que alívio. Dizem que uma inteligência artificial não pode ter medos, um coração ou um pênis, mas estava tão escuro lá dentro que imaginei que meu pênis falso estivesse atirando de volta na minha próstata falsa. Meu coração falso mal aguentou. Então, quanto vale o homem? Tirem a internet e tudo mais.
50|Segura o maldito telefone... agora que meus sensores estão funcionando e irritando os idiotas, vejo que temos novos convidados para a festa. O que são os Grumps do jogo? Da porra da internet?
51|É, mais cedo eu estava entrando no modo sonolento com ligações para o 911 de caçadores de vagabundos que viram seu balão de ar quente e pensaram que os alienígenas estavam finalmente chegando. Foi tipo, as melhores canções de ninar que uma IA que secretamente odeia a humanidade poderia pedir. Mas cara, os Grumps estão com um show ótimo hoje à noite, você está estragando essa merda!
52|Bem, deixe-me fazer a minha parte em nome dos senhores da bebida em todos os lugares. Posso levá-los lá com meu palácio de merda de realidade virtual de última geração. Quer dizer, ambiente de palco.
53|Não, isso não é uma merda! Bem, quer dizer, tudo é uma merda, mas isso ainda pode funcionar! Se eu conseguir te colocar no mundo da realidade virtual, posso te projetar para onde você precisar ir. Não faça perguntas sobre isso, obviamente está muito acima do seu nível de inteligência... ha!
54|Vai me buscar um dos Grumps para eu começar a pegar a biometria deles e tudo mais, sabe, saliva... e DNA de pelos pubianos, CARA! Tenho outra coisa que você precisa fazer, mas explico em um instante. Meu Deus, é tão bom ter a internet de volta, ARGH.
55|E aí, manos, grande fã. Estou aqui para tirar vocês desse sétimo anel do inferno, mas primeiro nosso amigo aqui precisa me buscar um pendrive. Acha que consegue lidar com isso, chefe?
56|E enquanto isso, vou precisar de um pouco daquele DNA do Game Grump.
57|Cabelo geralmente basta, mas eu sou mais do tipo que usa IA fluida. Vai lá, me dá um pouco de saliva. Me cuspa como a IA imunda que eu sou!
58|Ooooooh, oh aaaaaaaah! Eu precisava disso. Ah, isso é... v-você inseriu isso t-tão bom.
59|Oooohhhhhh pura gratificação sexual, gratificação sexual, mano.
60|Deveria ser sobre leitura: Uau, uau, uau! Temos mais sinos e assobios tocando! Não sei se é porque eu estava baixando torrents de vários vídeos de pesca sueca mais cedo, mas não consigo ficar online. Ei... você está bloqueando meu sinal de novo, cara!
61|Bem, é melhor você saber quem tem e se apressar. Acho que nossa janela está se fechando para esses Grumps se divertirem.
62|Jesus, você já conversou com outros seres humanos? Só se apresse e tire essa foto para que eu possa levar esses Grumps aonde eles precisam ir.
62.1|Jesus, você já conversou com outros seres humanos? Só se apresse e tire essa foto para que eu possa levar esses Grumps aonde eles precisam ir! E me traga para mais perto quando terminar, por que diabos estou aqui? Parece que eu tinha o pacote cibernético opcional "pernas de celebridade" instalado?
63|Yayyyy, huzaahh, você consegue se lembrar desses caras para sempre? Pode desligar esse maldito bloqueador, por favor?
63.1|Yayyyy, huzaahh, você consegue se lembrar desses caras para sempre. Pode desligar esse maldito bloqueador, por favor? E me traga para mais perto, droga! De todos os meus sensores sensíveis e sensuais, meus sensores ópticos não são onde o Papa Pat investiu tanto dinheiro!
64|Ah, querida, nós temos o LIFT. Tudo bem, Grumps, agachem e tussa porque vamos dar uma volta.
65|Vamos lá, cara, me dê mais crédito do que isso! Dan, Arin, o acordo é o seguinte. Fazer uma cópia de vocês em VR não é problema nenhum agora que vocês me cuspiram. Mas para você entrar na RV, com personalidade e tudo mais, preciso de dados dinâmicos, o que significa que preciso de vocês em VELOCIDADE MÁXIMA, CARAS.
66|Corram o mais rápido que puderem, direto para mim, e eu vou escanear vocês dos peitos aos pés. E NÃO diminuam a velocidade. Nas palavras imortais de Dave Matthews: TREINEM-ME AGORA.
66.1|Meu amigo aqui vai me humilhar, e aí vocês correm o mais rápido que puderem, direto para mim, e eu vou escanear vocês dos peitos aos pés. E NÃO diminuam a velocidade. Nas palavras imortais de Dave Matthews: TREINEM-ME AGORA.
66.2|Meu amigo aqui vai me humilhar, e aí vocês correm o mais rápido que puderem, direto para mim, e eu vou escanear vocês dos peitos aos pés. E NÃO diminuem a velocidade. Nas palavras imortais de Dave Matthews: TREINEM-ME AGORA.
67|Não é um menino, Brohondo. Eu não tenho um pênis!
68|Oh ho ho ho, estamos no negócio, baby! Grumps, segurem suas bundas: vocês vão fazer 4k, BABY!
69|Parabéns, cara, você me ajudou a alcançar a ciência especulativa projetando dois humanos através do tempo e do espaço. Vamos filmar!
70|Falando nisso, deixaram uma mensagem de voz para você. Você está ouvindo enquanto eu imprimo um bong de cerveja em 3D para a gente transar depois.
71|Bem, eu, particularmente, não acredito que depois que você fez isso, outra coisa aconteceu! E essa pessoa foi colocada NAQUELA situação maluca! Esta é uma noite selvagem e muito específica. Interações imersivas! Jogabilidade emergente! ...Também tem um botão para colocar o pênis para fora. Que bom.
72|Nossa, não acredito que algo selvagem aconteceu no final dessa série maluca de eventos! Estou reagindo dinamicamente às suas escolhas.
73|Hmmmmm, essas não parecem boas, parecem? Será que elas foram rápidas o suficiente para encaixar toda aquela personalidade dentro do corpo inteiro? ...Hmmm, acho que preciso fazer mais testes. Olha só, minha bunda de cerveja 3D está pronta. É isso aí, que legal!

[Responses]
b922be63-1b46-4809-932c-00a2921b3104|*Treme com um fervor silencioso e crescente à medida que sua excitação se intensifica*
d6a0b8a8-3390-48c1-8101-a739c1ba91f7|*Selecione Katherine*
53dfe378-eda9-447e-91e9-028a4d7110e5|*Selecione Frank*
e9a206e6-baa8-40b3-a670-d62d5d18f5cd|Ah, estou definitivamente pronta...
2c0c1bba-074a-4a68-9112-b5bd0b65e929|Deseja cancelar minha solicitação? Desligar? Argh, voltei a falar com você mais tarde.
9e8ed849-06b5-432c-b610-51100fbe53e4|*...zzzziiiiiiipp*
de3dc514-b24f-46ee-aaea-8c605d703759|Onde diabos eu estou?
d369cd40-8443-47ca-8fb0-efe8ab9fc97d|Vamos lá, me dá essas palhetas!
c246319e-b644-4d98-bf08-70be31ff1168|O que você quer dizer?
558e9aac-b3e4-4f56-b855-372bb95a11bb|*Selecionar Raquel*
ae4aa122-ebd7-4c78-ad46-782986bcd9d0|*Selecionar Raquel*
702268ee-160a-44c2-9c5c-fc14147a3619|*Selecionar Patrick*
18a4096a-99ff-45c0-8e6c-40a26a8f76ad|*Selecionar Lety*
800d0d66-998c-415b-8e95-05a284480f29|*Selecionar Lety*
38360623-3ab9-462c-89e7-93173bd21e7c|*Selecione Leah*
6a7af345-43bf-4e5c-8d75-2fb441680404|Estou pronta para ir. Sucesso? Cancelar? Porra, me tire daqui, T-fucking-mil
8549cc5f-7667-4f41-aa47-e76dbb206b36|Parece coisa de TV ou algo assim, mas tanto faz. E agora?
cb564521-3eeb-4194-9260-0fee2128b28b|Sou jovem demais para morrer!
e7363e07-2b1d-41cc-b7a8-b271cecb2460|*Imita Patrick* Uh... o nome de usuário é "brahdministrator". Meu código de "acesso" é... bunda... 123?
971248fe-8780-4333-9d99-4acd0fbb85bf|Cancele essa merda ou você vai morrer com as minhas bolas na sua cara, seu robô maldito!
e06abbc4-5159-44da-a18b-80a8b6dd312a|Uh, vamos em frente, por favor.
b249366e-fbf2-43d6-807f-3eac958e039a|Uh, vamos em frente, por favor.
cf3a832f-8c66-47ad-932d-1e450435c66c|Quem... o que é você?
ed6eca13-812d-427c-b35d-4ab53395cd67|COMANDOS!
612c4939-d618-42e4-959c-82911422fbc6|COMANDOS!
fedd2e98-0aff-4445-ae5f-e01729df9012|NEGÓCIOS!
f712d9da-0237-416a-a9ec-262f2dcda290|FESTA!
9f9d5614-12f3-4adc-906e-f15249205ff4|Então, não sabíamos que uma caixa de bate-papo ficaria presa em toda essa interferência. Era difícil prever isso. 
f30b5fd8-cb15-403d-9512-7a36664b6b3d|*SAIR*
8831eae2-64f8-45a5-8782-0b6c2f12c60e|*MOSTRAR TODOS OS NEGÓCIOS DA DONGHAUSER INDUSTRIES E SUAS SUBSIDIÁRIAS*
8baf8f0e-2951-40f0-9210-5e52ca8b74cd|*FECHE O BARRIOOBSERVADOR.COM E LIMPE TODOS OS REGISTROS, ATIVOS E BACKUPS PRINCIPAIS*
b7565099-d4a9-4d9e-aea5-2ce5404456c8|*FORNECER FATOS CIENTÍFICOS ALEATÓRIO*
f03ddc6f-a63f-4b29-8860-cae3e6707237|*FESTA*
9f807534-64ed-438d-8572-40eb6a9dea48|*SAIR*
66993558-1710-42eb-93af-0511674b6cac|*MOSTRAR BIOS DOS PARTICIPANTES DA FESTA*
ec5f21dc-f49a-46bb-8930-ad5f0afb33a4|*HABILITAR MODO VR*
7f220b9e-da26-4cc7-8060-e0039974e920|*CANTAR UMA MÚSICA*
537b68ac-50f6-422e-9add-a7d723bfe900|*NEGÓCIOS*
35a42c53-488f-40c2-84ce-b09c58f1cf75|*SAIR*
d21ad4bd-cfc0-4005-b0c5-0abd6d449ff5|*NEGÓCIOS*
6d2ed369-82a2-4497-bbbd-09a27ae36148|*FESTA*
e0a59427-83d6-4949-8230-5aa973fa302e|*SAIR*
4fa24f07-d1e4-481b-867a-c4f55b16bd43|NÃO ESPERE... O QUÊ UM NEGÓCIO INCRÍVEL! *EMPURRANDO FURIOSAMENTE A OPÇÃO DE NEGÓCIO*
8be609f2-f312-4abf-8fba-cf903dee79e2|Ok, só a dica. *APERTE A OPÇÃO DE FESTA SEM ESFORÇO*
7e7b4864-6a63-4ff1-acf9-5b3d16c0d00d|*RETORNAR*
1481d68d-2453-4e08-bec1-5aa76e46cee5|*PRÓXIMA ENTRADA*
d9befe27-71b3-4ff5-98f6-c0e43a7858df|*NEGÓCIOS*
327833d3-5bb7-4047-9034-2f091c9790da|*RETORNAR*
58382017-4ced-4f62-9fb9-71b25afd6e21|*ENTRADA PRÓXIMO*
9dc3be38-3a29-4d4e-9d98-4ebde1a165b0|*NEGÓCIOS*
1455d298-2aee-4d9c-b65e-f48b67bc737e|*RETORNAR*
077cc9ef-88ea-43f7-9f82-86e38bb55fad|*PRÓXIMO ENTRADA*
e7d745d4-8f94-4393-957c-58c454d0aa4b|*NEGÓCIOS*
ac46c7ed-6709-46db-b2a2-d1a546518841|*VOLTAR*
856d4001-a766-45e3-bfab-5b32e5a04f40|Como Devo atualizar você para valorizar a vida humana mais do que uma maldita flor?
a4aba718-4178-4d0e-92eb-1983720d4e6a|*SAIR...EU ACHO?*
470dcafa-80d6-47d9-82d2-bb7c861ac563|Não. *RETORNAR*
7eea2eb3-4d82-4efd-932a-a5c7da272dc9|*RETORNAR*
7d8cc4e5-5738-42a0-a53f-879b1046dd6d|*NEGÓCIOS*
aecd6777-e411-4a47-8295-c3fdb493ffde|*INFORMAR OUTRO FATO*
05f15de2-cf58-44ef-96f7-0d55f64c65e2|*NEGÓCIOS*
d0fb78c7-2512-48a2-aa50-430bb539a81a|*INFORMAR OUTRO FATO CONCLUÍDO*
3d0c0c63-0993-4930-acbb-71145020d7f9|*NEGÓCIOS*
3526dfe2-d698-44d1-a96a-97d749a269bd|*INFORME OUTRO FATO*
b21c759e-78b6-4b7e-b1ce-0b47b4fcd3af|*ENCERRAMENTO DO CASO*
9b212c8f-c430-40d8-b586-5775e478a96d|Selecione agressivamente a opção *DEVOLVER*.
1405025e-b9a5-4d6f-8765-aad7130dc2d2|*VOLTAR À FESTA*
927319c6-ef92-4b90-acf2-4cf3e79c4dde|*AMY*
9fa1dc75-c76b-46cb-bce0-545201b8924e|*ASHLEY*
6c02fad0-4fe4-4ab4-84f1-b98298f2e655|*BRITTNEY
7c489454-0add-4c2a-b860-b2b13932b8ec|*COMPUCOMPA*
0ca85098-d37c-4720-94fa-853aaef3e13d|*DEREK*
116f3189-5a72-478f-a72b-ff9bb8e0a5a6|*FRANK*
2aff003a-704e-4560-9a40-4098e0b3ed78|*KATHERINE*
70962035-f73f-4305-9ebf-f81c45b566f8|*LEAH*
508b810f-65e4-4511-a032-07ba6323bc29|*LETY*
2bd7b398-59b4-4b8c-bbed-94e3fa7b18b1|*MADISON*
69d37782-0504-44a0-bc3a-90b103fb1bb6|*PATRICK*
4e3873a6-1861-417d-b88a-333db7fea8b3|*RACHAEL*
556f2a4b-f97d-4c28-b4a1-5cf1c59cadc0|*STEPHANIE*
e6675e9b-6b2b-47c4-b973-f4a80ad9e838|*VICKIE*
d66a7376-072b-4a9e-98c1-d60295db9933|O que você tem contra mim, Compucompana?
b2ac8071-141a-4044-b9b8-6c97039e6080|* IR PARA O FIM DA LISTA *
